"","CatNo","Pit","Length","MidshaftWidth","MidshaftDepth"
"145","E 6339",9,140.29,13.44,8.61
"146","E 6454",9,140.25,13.22,8.14
"147","E 5412",9,124.71,13.22,7.8
"148","E 6806",9,141.84,13.6,8.65
"149","G 6271",9,139.92,13.54,8.92
"150","E 6271",9,144.93,12.68,8.68
"151","E 5235",9,142.99,12.36,8.75
"152","E 6039",9,147.61,14.66,8.7
"153","G 6017",9,119.25,11.83,6.96
"154","E 8256",9,119.22,11.7,7.04
"155","E 6577",9,112.64,11.65,7.35
"156","G 6280",9,111.61,11.11,6.88
"157","G 5980",10,116.31,11.54,6.52
"158","G 5977",10,149.33,14.21,8.75
"159","G 5981",10,145.28,14.09,8.53
"160","G 5982",10,116.8,12.03,7.42
"161","E 8246",13,141.09,14.8,9.24
"162","K 3094",13,113.4,11.41,7.07
"163","E 8362",13,119.99,11.23,7.35
"164","E 8249",13,115,10.77,7.16
"165","E 8240",13,126.62,12.24,7.49
"166","E 8358",13,110.04,11.13,6.86
"167","E 8359",13,109.94,11.31,6.92
"168","E 8366",13,116.94,12.02,7.23
"169","E 8242",13,114.01,10.74,6.87
"170","E 8338",13,114.83,11.03,6.5
"171","E 8370",60,134.87,12.7,8.71
"172","E 8389",60,135.22,13.59,8.44
"173","E 8454",60,116.02,11.69,7.12
"174","K 3091",60,143.14,14.24,8.68
"175","E 8390",60,138.11,13.85,8.71
"176","E 8410",60,139.37,13.69,8.53
"177","E 8466",61,146.83,13.67,9.12
"178","E 8478",61,150.75,14.24,9.1
"179","E 8479",61,150.37,13.83,8.57
"180","E 8498",61,112.75,11.4,6.67
"181","E 8465",61,118.55,11.26,7.27
"182","E 8512",61,115.48,11.91,7.54
"183","E 8469",61,120.7,11.56,7.15
"184","E 8506",61,113.78,11.18,6.64
"185","E 8518",61,116.93,11.75,6.73
"186","E 8525",61,117.8,11.38,6.92
"187","E 8464",61,144.81,13.75,9.25
"188","E 6334",61,141.85,14.14,9.09
"189","E 8475",61,143.06,14.43,8.73
"190","E 8522",61,147.67,13.38,7.8
"191","E 8523",61,117.92,11.49,7.37
"192","E 8494",61,117.31,11.83,7.35
"193","E 8514",61,114.27,10.91,6.85
"194","E 8546",77,120.04,11.32,7.25
"195","E 8528",77,139.78,13.52,9.23
"196","E 8530",77,139.42,12.91,8.78
"197","K 748",77,138.19,13.31,7.93
"198","E 6028",98,146.93,14.22,7.89
"199","E 6331",98,116.01,11.73,7.02
"200","K 6142",98,117.58,11.19,6.93
"201","K 6141",98,117.21,11.47,6.66
"202","K 6083",98,115.65,11.44,7.05
"203","K 6139",98,142.16,13.91,8.49
"204","K 6085",98,143.72,13.14,8.32
