Species,Subspecies,Sex,CatNo,A - total length,B - proximal width,C - depth of cotyla medialis,D - minimum width of shaft,E - minimum depth of shaft,F - distal width,G - distance between dorsal surface of trochlea metatarsi III and plantar side of trochlea metatarsi II,H - depth of lateral side of trochlea metatarsi III,I - Proximal side of base of spur core to the lateral end of Trochlea metatarsi III,J - length of spur core,Place of collection,Date of collection,My comments,Collection,Remarks 1,,
californica,,,E 8498,112.75,18.39,11.4,6.67,4.67,18.76,9.97,9.04,,,Rancho La Brea,R,adult,,,,
californica,,,E 5827,114.64,18.74,11.78,7.26,4.98,18.76,10.97,9.63,,,Rancho La Brea,R,adult,,,,
californica,,,E 8215,115.37,19.33,11.79,7.48,5.03,19.53,10.92,9.79,,,Rancho La Brea,R,adult,,,,
californica,,,E 6115,122.26,19.27,11.64,7.34,4.67,19.11,9.74,9.12,,,Rancho La Brea,R,adult,,,,
californica,,,E 8125,118.24,19.12,12.35,6.93,5.02,19.1,9.71,9.71,,,Rancho La Brea,R,adult,,,,
californica,,,E 7914,115.12,,11.72,7.6,5.09,19.1,11.03,9.32,,,Rancho La Brea,R,adult,,,,
californica,,,E 7534,118.67,,11.8,7.15,4.92,19.06,10.45,8.96,,,Rancho La Brea,R,adult,,,,
californica,,,E 8546,120.04,18.44,11.32,7.25,4.94,18.61,10.46,9,,,Rancho La Brea,R,adult,,,,
californica,,,E 5977,110.52,18.29,11.53,7.23,4.65,19.21,10.27,9.01,,,Rancho La Brea,R,adult,,,,
californica,,,E 6272,115.34,18.32,11.54,6.77,4.97,18.77,9.94,8.52,,,Rancho La Brea,R,adult,,,,
californica,,,E 6948,112.7,18.27,11.43,6.99,5.01,18.93,10.25,9.43,,,Rancho La Brea,R,adult,,,,
californica,,,E 6965,115.19,17.47,11.16,7.01,4.61,18.55,9.84,8.79,,,Rancho La Brea,R,adult,,,,
californica,,,E 6331,116.01,18.33,11.73,7.02,4.57,18.16,9.73,8.53,,,Rancho La Brea,R,adult,,,,
californica,,,E 6337,116.54,16.95,10.83,,4.55,18.11,9.56,9.01,,,Rancho La Brea,R,adult,,,,
californica,,,E 8362,119.99,19.05,11.23,7.35,4.93,19.5,11.09,9.37,,,Rancho La Brea,R,adult,,,,
californica,,,E 5466,115.81,17.95,10.91,6.82,,,,8.99,,,Rancho La Brea,R,imm?,,Measurements probably OK,,
californica,,,E 5851,114.52,18.54,11.22,7.15,5,19.22,10.52,8.98,,,Rancho La Brea,R,adult,,,,
californica,,,E 7916,111.12,18.51,11.45,6.93,4.62,18.7,10.68,9.18,,,Rancho La Brea,R,imm (prox part spongy),,Measurements probably OK,,
californica,,,E 8249,115,,10.77,7.16,4.77,19.19,10.51,9.59,,,Rancho La Brea,R,adult,,,,
californica,,,E 5351,112.45,17.48,10.83,6.62,4.74,18.4,9.52,8.32,,,Rancho La Brea,R,adult,,,,
californica,,,E 5123,120.16,18.64,11.78,7.26,4.98,19.11,11.25,9.35,,,Rancho La Brea,R,adult,,,,
californica,,,E 5898,114.17,18.46,11.51,6.51,4.46,19.08,9.79,9.53,,,Rancho La Brea,R,adult,,,,
californica,,,E 8038,108.26,18.9,12.03,7.2,4.99,18.72,10.92,9.18,,,Rancho La Brea,R,adult,,,,
californica,,,E 6942,117.34,,11.74,6.86,4.84,17.95,10.6,9.34,,,Rancho La Brea,R,adult,,,,
californica,,,E 8121,110.52,17.99,11.02,6.68,4.8,17.75,10.25,8.86,,,Rancho La Brea,R,adult,,,,
californica,,,E 7057,118.53,17.52,10.73,6.75,4.61,17.9,9.32,8.59,,,Rancho La Brea,R,adult,,,,
californica,,,E 6748,110.89,17.33,,6.8,4.53,,,8.54,,,Rancho La Brea,R,adult,,,,
californica,,,E 7934,111.96,17.86,11.14,6.35,4.5,17.79,10.21,8.69,,,Rancho La Brea,R,imm (prox part spongy),,Measurements probably OK,,
californica,,,E 8465,118.55,18.56,11.26,7.27,4.6,18.62,9.48,8.62,,,Rancho La Brea,R,adult,,,,
californica,,,E 8512,115.48,19.56,11.91,7.54,5.19,19.42,10.86,9.68,,,Rancho La Brea,R,adult,,,,
californica,,,E 6745,113.84,18.17,11.28,7.02,4.64,19.03,11.04,9.42,,,Rancho La Brea,R,adult,,,,
californica,,,E 5343,112.71,19.06,11.57,7.04,4.76,19.17,10.91,9.48,,,Rancho La Brea,R,adult,,,,
californica,,,E 8469,120.7,19.34,11.56,7.15,4.99,19.76,11.37,9.6,,,Rancho La Brea,R,adult,,,,
californica,,,G 5944,110.88,18.49,11.46,7.06,4.93,19.21,10.73,9.17,,,Rancho La Brea,R,adult,,,,
californica,,,E 7508,119.1,18.37,11.55,7.2,4.81,18.71,10.81,9.2,,,Rancho La Brea,R,adult,,,,
californica,,,E 6950,116.2,17.02,10.86,6.95,4.8,,,8.9,,,Rancho La Brea,R,adult,,,,
californica,,,D 8174,117.28,18.93,11.52,7.46,4.97,19.91,10.46,9.5,,,Rancho La Brea,R,adult,,,,
californica,,,E 5382,111.88,17.95,11.57,6.6,4.62,18.39,10.15,9.2,,,Rancho La Brea,R,adult,,,,
californica,,,E 8030,120.41,18.3,10.96,7.27,5.03,19.05,11.32,9.4,,,Rancho La Brea,R,adult,,,,
californica,,,E 7620,120.62,18.74,11.76,7.39,4.79,19.13,10.63,9.77,,,Rancho La Brea,R,adult,,,,
californica,,,E 6278,118.47,18.21,11.05,7.17,4.8,19.49,10.77,8.89,,,Rancho La Brea,R,adult,,,,
californica,,,E 8227,115.07,17.97,11.52,7.03,4.95,19,10.6,9.47,,,Rancho La Brea,R,adult,,,,
californica,,,E 8022,118.33,18.99,11.53,6.59,4.52,19.32,9.67,9.19,,,Rancho La Brea,R,adult,,,,
californica,,,E 7282,117.54,19.02,11.74,6.82,4.92,18.94,10.97,9.18,,,Rancho La Brea,R,adult,,,,
californica,,,E 6939,117.02,18.67,11.16,7.33,4.84,19,10.27,9.56,,,Rancho La Brea,R,adult,,,,
californica,,,E 8506,113.78,18.07,11.18,6.64,4.48,20,9.98,9.51,,,Rancho La Brea,R,adult,,,,
californica,,,E 7122,120.62,18.27,11.72,7.64,5.34,18.54,10.08,9.14,,,Rancho La Brea,R,adult,,,,
californica,,,E 8240,126.62,18.52,12.24,7.49,5,20.35,10.51,10.06,,,Rancho La Brea,R,adult,,,,
californica,,,E 5865,111.84,18.42,11.22,6.54,4.69,18.54,10.34,9.12,,,Rancho La Brea,R,adult,,,,
californica,,,E 7743,113.87,18.26,11,6.83,4.77,19.19,10.38,9.33,,,Rancho La Brea,R,imm (prox part spongy),,Measurements probably OK,,
californica,,,E 7681,120.14,18.74,11.88,7.42,4.78,18.54,10.08,9.18,,,Rancho La Brea,R,adult,,,,
californica,,,E 7573,115.31,18.53,11.65,7.13,4.67,19.94,10.03,,,,Rancho La Brea,R,adult,,,,
californica,,,E 7242,119.84,,10.93,7.1,4.69,,,9.64,,,Rancho La Brea,R,adult,,,,
californica,,,E 8518,116.93,18.58,11.75,6.73,4.75,19.26,11.29,9.58,,,Rancho La Brea,R,adult,,,,
californica,,,E 8358,110.04,18.02,11.13,6.86,4.68,18.89,10.5,9.49,,,Rancho La Brea,R,imm?,,Measurements probably OK,,
californica,,,E 5718,119.12,17.73,11.59,,4.56,18.49,10.12,8.98,,,Rancho La Brea,R,imm?,,Measurements probably OK,,
californica,,,E 5839,118.4,18.68,11.59,6.9,4.89,19.18,10.88,9.57,,,Rancho La Brea,R,adult,,,,
californica,,,E 7984,116.72,18.5,11.62,6.57,4.48,18.21,10.16,9.01,,,Rancho La Brea,R,adult,,,,
californica,,,E 7036,110.35,17.19,11,6.37,4.44,18.16,10.02,9.15,,,Rancho La Brea,R,imm?,,Measurements probably OK,,
californica,,,E 8199,119.43,18.41,,7.14,5.14,19.94,10.51,9.81,,,Rancho La Brea,R,imm?,,Measurements probably OK,,
californica,,,E 6358,113.67,17.36,10.87,,4.43,17.85,10.14,8.81,,,Rancho La Brea,R,imm?,,Measurements probably OK,,
californica,,,E 5788,113.74,17.68,11.08,6.89,4.65,17.9,10.3,9.06,,,Rancho La Brea,R,imm?,,Measurements probably OK,,
californica,,,E 7023,115.15,18.3,11.81,6.93,4.58,18.55,10.12,8.99,,,Rancho La Brea,R,imm (prox part spongy),,Measurements probably OK,,
californica,,,G 5980,116.31,17.98,11.54,6.52,4.86,18.79,10.05,9.05,,,Rancho La Brea,R,imm?,,Measurements probably OK,,
californica,,,E 7952,112.99,18.01,11.24,6.87,4.63,18.83,10.3,9.28,,,Rancho La Brea,R,adult,,,,
californica,,,E 6620,118.17,,11.56,6.4,4.45,18.2,9.59,8.86,,,Rancho La Brea,R,adult,,,,
californica,,,E 6646,119.01,,,7.15,4.71,18.99,9.28,8.92,,,Rancho La Brea,R,adult,,,,
californica,,,G 6225,107.99,,10.76,6.36,4.33,,9.52,8.9,,,Rancho La Brea,R,adult,,,,
californica,,,E 5087,113.36,17.16,,6.92,4.3,18.16,9.43,,,,Rancho La Brea,R,imm?,,Measurements probably OK,,
californica,,,G 5928,113.46,17.45,10.15,6.79,4.51,18.37,9.33,,,,Rancho La Brea,R,adult,,,,
californica,,,E 8018,117.65,19.33,12.29,7.42,4.81,19.7,10.35,9.46,,,Rancho La Brea,R,adult,,,,
californica,,,E 8160,114.54,18.8,11.27,6.44,4.57,19.12,9.84,9.27,,,Rancho La Brea,R,imm?,,Measurements probably OK,,
californica,,,E 7721,116.29,18.27,10.64,6.58,4.66,17.88,9.94,9.19,,,Rancho La Brea,R,adult,,,,
californica,,,E 6295,120.49,18.89,11.33,6.73,4.62,18.78,9.63,,,,Rancho La Brea,R,adult,,,,
californica,,,E 6903,115.13,18.6,11.3,6.82,4.73,18.39,10.43,9.05,,,Rancho La Brea,R,adult,,,,
californica,,,E 5080,119.07,18.25,11.83,7.5,5.08,18.94,10.48,10.05,,,Rancho La Brea,R,adult,,,,
californica,,,E 6482,116.11,18.48,11.75,7.06,4.71,19.03,10.74,,,,Rancho La Brea,R,adult,,,,
californica,,,E 5912,119.6,18.41,,7.74,5.14,19.01,10.18,9.19,,,Rancho La Brea,R,adult,,,,
californica,,,E 6142,118.09,,,6.72,4.41,18.38,9.63,8.63,,,Rancho La Brea,R,adult,,,,
californica,,,E 5299,120.51,17.89,11.27,6.84,4.73,19.63,9.59,,,,Rancho La Brea,R,adult,,,,
californica,,,E 5384,116.61,19.04,11.43,6.5,4.53,18.99,,9.34,,,Rancho La Brea,R,adult,,,,
californica,,,E 6435,108.86,,,6.77,4.64,16.9,9.04,8.07,,,Rancho La Brea,R,adult,,,,
californica,,,E 6074,111.97,17.11,10.54,6.76,4.79,17.03,9.55,8.31,,,Rancho La Brea,R,adult,,,,
californica,,,E 6652,118.69,,,6.6,4.5,18.1,10.1,8.73,,,Rancho La Brea,R,adult,,,,
californica,,,E 8525,117.8,18.22,11.38,6.92,4.59,19.44,10.07,9.47,,,Rancho La Brea,R,adult,,,,
californica,,,E 6579,139.45,19.43,12.17,8.47,5.58,21.64,12.07,,67.37,20.77,Rancho La Brea,L,adult,,,spur fully developed,
californica,,,E 8464,144.81,21.41,13.75,9.25,5.73,22.23,11.83,10.78,65.55,19.52,Rancho La Brea,L,adult,,,spur fully developed,
californica,,,E 7181,139.87,22.07,13.57,8.48,5.01,20.67,10.23,9.7,64.1,15.97,Rancho La Brea,L,adult,,,spur probably fully developed but a little rough surface,
californica,,,E 7145,142.12,22.82,14.49,8.93,6.23,22.39,13.14,11.29,65.62,19.23,Rancho La Brea,L,adult,,,spur fully developed,
californica,,,E 6837,139.53,22.43,14.1,8.09,,,,11.31,65.61,12.28,Rancho La Brea,L,adult,,,spur spongy,
californica,,,E 7413,138.27,20.5,13.28,8.62,5.67,22.19,11.95,10.53,67.43,,Rancho La Brea,L,adult,,,"spur=little bump, top broken off",
californica,,,E 7394,150.02,22.63,14.56,9.68,6.34,23.1,13.28,11.5,71.37,18.69,Rancho La Brea,L,adult,Measurement G correct!! (=relatively larger than in other californica),,spur probably fully developed but a little rough surface,
californica,,,E 5224,141.76,21.41,,8.72,5.79,22.52,12.85,11.01,,,Rancho La Brea,L,adult,,,spur broken off,
californica,,,E 7551,139.52,,13.9,8.7,5.44,22.39,11.67,10.42,,,Rancho La Brea,L,adult,,,spur broken off,
californica,,,E 6828,135.85,21,13.08,8.2,5.44,21.39,12.01,10.63,,,Rancho La Brea,L,adult,,,,
californica,,,E 7510,,,,7.87,5.32,20.02,10.57,,61.77,12.54,Rancho La Brea,L,adult,,,spur probably fully developed but a little rough surface; very short!,
californica,,,E 5359,144.41,23.51,13.58,9,5.79,23.01,12.97,11.51,64.31,21.51,Rancho La Brea,L,adult,,,spur fully developed,
californica,,,E 7649,142.87,21.56,14.34,9,5.84,22.72,13.1,11.26,62.25,20.49,Rancho La Brea,L,adult,,,spur fully developed,
californica,,,E 7293,136.1,21.89,13.83,8.43,6.24,21.69,11.82,10.54,65.33,17.19,Rancho La Brea,L,adult,,,spur fully developed,
californica,,,E 6602,134.81,19.55,13.02,8.17,5.34,21.11,12.04,10.42,64.18,13.39,Rancho La Brea,L,adult,,,spur probably fully developed but a little rough surface; very short!,
californica,,,E 6783,145.78,,,8.85,5.62,22.45,13.15,11.16,68.02,14.2,Rancho La Brea,L,adult,,,spur spongy,
californica,,,E 5784,138.33,21.53,13.91,8.52,5.66,22.38,12.48,10.44,65.74,21.95,Rancho La Brea,L,adult,,,spur fully developed,
californica,,,K 3095,141.15,21.9,13.13,8.43,5.63,22.64,13.18,10.88,69.83,19.05,Rancho La Brea,L,adult,,,spur probably fully developed but a little rough surface,
californica,,,E 5935,141.97,,13.67,8.92,5.83,23.04,12.06,10.94,63.36,,Rancho La Brea,L,adult,,,spur broken off,
californica,,,E 5335,143.37,22.05,13.94,8.82,5.74,23.42,12.9,11.07,68.21,14.33,Rancho La Brea,L,adult,,,spur spongy,
californica,,,E 6690,136.34,20.97,14.17,8.48,5.78,21.46,12.26,10.63,62.44,16.63,Rancho La Brea,L,adult,,,spur probably fully developed but a little rough surface,
californica,,,E 8567,142.98,22.22,14.52,9.21,6.05,22.78,12.4,11.39,64.37,17.82,Rancho La Brea,L,adult,,,spur fully developed,
californica,,,K 3097,146.75,21.18,13.55,9.13,5.76,22.93,12.82,11.03,65.54,16.3,Rancho La Brea,L,adult,,,spur probably fully developed but a little rough surface,
californica,,,E 5993,141.78,23.27,14.57,9.25,5.73,,,11.82,66.12,,Rancho La Brea,L,adult,,,spur broken off,
californica,,,E 6073,148.36,22.69,14.68,8.83,5.97,23.76,13.09,11.34,67.47,18.89,Rancho La Brea,L,adult,,,spur fully developed,
californica,,,E 6659,140.03,20.72,13.01,8.74,5.4,20.98,12.11,10.09,64.77,18.07,Rancho La Brea,L,adult,,,spur fully developed,
californica,,,E 5635,138.71,22.96,14.7,9.02,5.69,23.09,12.96,11.31,66.43,19.41,Rancho La Brea,L,adult,,,spur fully developed,
californica,,,E 5217,138.61,21.21,13.6,8.56,5.44,21.48,11.6,10.44,69.25,11.22,Rancho La Brea,L,adult,,,spur worn off?,
californica,,,K 3098,139.28,20.91,13.03,8.31,5.49,21.23,12.12,10.52,65.24,17.75,Rancho La Brea,L,adult,,,spur fully developed,
californica,,,E 5838,146.58,23.51,15.07,9.25,6.27,23.75,12.91,11.63,70.63,21.02,Rancho La Brea,L,adult,,,spur fully developed,
californica,,,E 5324,143.7,21.96,13.77,8.64,5.59,22.2,12.87,10.83,66.76,14.48,Rancho La Brea,L,adult,,,spur spongy,
californica,,,E 8467,133.66,18.64,,8.19,5.27,21.66,11.49,10.21,60.97,14.25,Rancho La Brea,L,adult,,,top of spur broken off,
californica,,,E 8025,146.08,21.3,14.1,8.76,6.14,22.3,12.4,10.96,68.64,18.64,Rancho La Brea,L,adult,,,spur fully developed,
californica,,,E 5347,143.92,,,8.09,4.99,21.73,11,,64.84,,Rancho La Brea,L,adult,,,spur broken off,
californica,,,E 6298,140.66,21.66,13.44,8.25,5.12,22.21,11.49,10.74,63.05,13.22,Rancho La Brea,L,adult,,,spur spongy,
californica,,,E 8528,139.78,,13.52,9.23,6.05,,,,63.64,,Rancho La Brea,L,adult,,,spur broken off,
californica,,,E 5229,136.26,20.61,13.49,8.68,5.35,22.06,11.93,10.43,63.22,17.26,Rancho La Brea,L,adult,,,spur fully developed,
californica,,,E 5345,138.01,22.06,14.46,8.96,5.89,22.77,12.88,11.61,64.59,15.62,Rancho La Brea,L,adult,,,spur probably fully developed but a little rough surface,
californica,,,E 7983,135.58,20.75,13.34,8.69,5.65,22.97,12.67,11.08,65.68,19.42,Rancho La Brea,L,adult,,,spur fully developed,
californica,,,K 3089,144.08,22.81,14.04,8.61,5.64,,,10.62,66.2,19.03,Rancho La Brea,L,adult,,,spur fully developed,
californica,,,E 5265,140.5,21.54,13.66,9.22,6.09,22.21,13.4,11.45,63.36,15.58,Rancho La Brea,L,adult,,,spur fully developed; short,
californica,,,E 6689,143.59,22.82,13.72,8.71,5.68,22.56,12.36,10.96,64.97,21.23,Rancho La Brea,L,adult,,,spur fully developed,
californica,,,E 5675,141.71,21.59,13.75,8.96,5.75,22.91,13.04,11.07,63.08,16.85,Rancho La Brea,L,adult,,,spur fully developed,
californica,,,E 8530,139.42,22.02,12.91,8.78,5.66,22.27,12.43,10.68,,,Rancho La Brea,L,adult,,,spur probably used to be but it is broken off?,
californica,,,E 6096,140.7,21.98,13.77,8.57,5.47,21.75,13.03,11.25,68.23,19.18,Rancho La Brea,L,adult,,,spur fully developed,
californica,,,E 6128,130.39,19.9,13.13,8.11,5.35,21.13,11.95,10.07,59.57,16.17,Rancho La Brea,L,adult,,,spur probably fully developed but a little rough surface,
californica,,,E 6578,145.58,21.91,14.46,8.57,5.87,22.34,12.9,11.26,68.44,15.58,Rancho La Brea,L,adult,,,spur probably fully developed but a little rough surface,
californica,,,E 8519,141.85,22.63,14.14,9.09,5.81,22.55,12.51,10.58,67.64,16.78,Rancho La Brea,L,adult,,,spur probably fully developed but a little rough surface,
californica,,,E 7670,139.66,21.95,13.76,9.15,5.85,22.11,12.1,10.6,66.93,22.18,Rancho La Brea,L,adult,,,spur fully developed,
californica,,,K 3091,143.14,23.21,15.25,9.48,6.3,22.84,12.57,10.9,66.85,22.04,Rancho La Brea,L,adult,,,spur fully developed,
californica,,,E 7643,140.09,21.42,13.8,8.36,5.66,22.56,12.62,11,66.94,14.73,Rancho La Brea,L,adult,,,spur spongy,
californica,,,E 7059,141.32,22.24,13.69,8.9,5.65,22.94,12.3,10.65,70.38,13.63,Rancho La Brea,L,adult,,,spur probably fully developed but a little rough surface,
californica,,,E 7740,147.15,23.04,15.04,9.3,6.15,23.16,13.36,11.02,67.22,20.24,Rancho La Brea,L,adult,,,spur fully developed,
californica,,,E 6711,140.51,24.23,14.01,8.71,5.97,23.08,13.23,10.61,64.76,15.34,Rancho La Brea,L,adult,,,spur probably fully developed but a little rough surface,
californica,,,E 8412,143.14,21.98,14.24,8.68,5.8,22.66,12.31,11.04,66.35,18.84,Rancho La Brea,L,adult,,,spur fully developed,
californica,,,E 6552,130.62,22.49,13.4,8.17,5.84,21.44,12.52,10.61,65.24,19.99,Rancho La Brea,L,adult,,,spur fully developed,
californica,,,K 3096,139.17,22.45,13.78,9.34,5.96,22.85,13.25,11.34,63.78,15.07,Rancho La Brea,L,adult,,,spur probably fully developed but a little rough surface,
californica,,,E 5405,132.78,21.26,13.66,8.59,5.6,22.38,12.51,10.93,63.56,14.75,Rancho La Brea,L,adult,,,top of spur broken off,
californica,,,E 6103,142.46,22.62,15.29,9.11,6.04,23.68,13.03,11.4,68.85,12.07,Rancho La Brea,L,adult,,,top of spur broken off,
californica,,,E 7455,134.22,22.34,13.52,8.95,5.96,22.08,11.64,10.39,62.93,16.7,Rancho La Brea,L,adult,,,spur probably fully developed but a little rough surface,
californica,,,E 6839,147.01,22.19,14.15,8.78,5.62,22.47,13.22,10.77,68.89,18.24,Rancho La Brea,L,adult,,,spur fully developed,
californica,,,E 6113,134.22,20.93,13.54,8.3,5.67,21.42,11.74,10.46,66.16,20.55,Rancho La Brea,L,adult,,,spur fully developed,
californica,,,E 8390,138.11,22.93,13.85,8.71,5.93,22.2,12.54,10.67,65.99,11.46,Rancho La Brea,L,adult,,,spur spongy,
californica,,,G 6274,140.39,21.91,14.62,8.58,5.66,22.62,12.78,10.92,65.38,13.24,Rancho La Brea,L,adult,,,spur spongy,
californica,,,E 6849,130.79,20.85,13.41,8.16,5.47,21.45,11.57,10.57,62.44,17.97,Rancho La Brea,L,adult,,,spur probably fully developed but a little rough surface,
californica,,,E 7416,144.37,23.28,14.1,8.79,6.02,23.75,13.03,10.81,69.68,18.93,Rancho La Brea,L,adult,,,spur fully developed,
californica,,,E 7827,143.38,23.51,14.43,8.89,5.83,23.47,12.93,11.41,70.34,22.26,Rancho La Brea,L,adult,,,spur fully developed,
californica,,,E 5833,138.39,21.15,14.1,8.79,5.68,22.56,12.22,10.66,64.06,16.08,Rancho La Brea,L,adult,,,spur probably fully developed but a little rough surface,
californica,,,E 7894,143.18,22.38,14.15,9.24,5.74,22.25,12.47,10.47,60.97,17.29,Rancho La Brea,L,adult,,,spur fully developed,
californica,,,K 3088,132.94,20.84,13.58,8.45,5.62,22.17,12.6,10.1,62.96,18.57,Rancho La Brea,L,adult,,,spur fully developed,
californica,,,E 8410,139.37,21.46,13.69,8.53,5.69,22.42,12.01,10.82,63.01,15.88,Rancho La Brea,L,adult,,,spur probably fully developed but a little rough surface,
californica,,,E 8475,143.06,23.9,14.43,8.73,5.66,24.13,12.93,10.98,66.2,24.24,Rancho La Brea,L,adult,,,spur fully developed; very long,
californica,,,E 5272,139.87,21.29,14.21,8.17,5.09,22.48,11.96,10.27,65.02,16.52,Rancho La Brea,L,adult,,,spur probably fully developed but a little rough surface,
californica,,,E 5341,145.54,22.62,14.34,9.05,5.99,22.66,13.11,11.12,63.72,13.46,Rancho La Brea,L,adult,,,spur spongy,
californica,,,E 5770,140.83,22.44,14.23,9.26,5.82,23.03,12.89,11.13,63.8,18,Rancho La Brea,L,adult,,,spur fully developed,
californica,,,K 748,138.19,21.61,13.31,7.93,5.42,21.07,12.35,10.5,63.03,,Rancho La Brea,L,imm?,,,spur=little bump,
californica,,,G 5977,149.33,21.54,14.21,8.75,5.44,22.53,11.7,10.77,66.78,,Rancho La Brea,L,adult,,,spur=little bump,
californica,,,G 5986,146.58,,,9.1,5.45,21.15,12.31,,65.09,,Rancho La Brea,L,adult,,,spur broken off,
californica,,,G 5981,145.28,22.21,14.09,8.53,5.41,22.36,12.36,10.72,65.97,,Rancho La Brea,L,adult,,,spur=little bump,
californica,,,E 5775,149.32,23.16,14.88,8.92,5.93,24.63,12.91,11.23,71.85,22.39,Rancho La Brea,L,adult,,,spur fully developed; very long,
californica,,,E 5213,134.59,,,8.12,5.17,21.52,11.51,10.16,64.99,14.33,Rancho La Brea,L,adult,,,spur probably fully developed but a little rough surface,
californica,,,E 5199,137.26,22.46,14.02,8.98,5.94,22.52,12.08,10.25,65.21,17.08,Rancho La Brea,L,adult,,,spur probably fully developed but a little rough surface,
californica,,,E 7865,136.66,21.45,13.5,8,5.38,22.98,12.58,10.35,,,Rancho La Brea,L,imm?,,Measurements OK,no spur,
californica,,,E 8058,109.37,17.26,10.87,6.96,4.44,18.44,10.3,8.89,,,Rancho La Brea,L,adult,,,,
californica,,,E 6671,115.88,19.59,12.44,6.88,4.81,19.08,10.17,9.89,,,Rancho La Brea,L,adult,,,,
californica,,,E 6899,119.89,18.44,10.76,7.02,4.7,18.4,10.31,9.25,,,Rancho La Brea,L,adult,,,,
californica,,,E 7557,146.96,22.8,14.81,8.66,5.72,22.59,12.47,11.06,,,Rancho La Brea,L,imm?,,Measurements OK,No spur ,Male by size?
californica,,,E 6174,146.59,21.14,13.66,7.84,5.55,22.89,13.01,11.41,,,Rancho La Brea,L,imm?,,Measurements OK,No spur ,Male by size?
californica,,,E 6818,140.74,20.34,13.49,7.85,5.33,21.17,12.24,10.72,,,Rancho La Brea,L,adult,,,No spur; probably broken off?,
californica,,,E 5663,146.04,22.21,13.46,8.25,5.64,23.27,12.68,11.26,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,Male by size?
californica,,,E 5955,143.03,21.84,13.98,8.1,5.09,22.52,11.88,10.98,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,Male by size?
californica,,,E 7040,144.06,20.79,13.78,8.48,5.77,22.64,12.14,10.98,,,Rancho La Brea,L,adult,,,No spur; broken off?,Male by size?
californica,,,E 6106,136.1,21.78,13.18,7.47,5.27,22.27,12.28,10.93,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,Male by size?
californica,,,E 6105,135.74,,12.6,7.68,4.89,21.3,11.34,10.24,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,Male by size?
californica,,,E 6162,135.46,21.64,13.37,7.66,5.11,21.83,12.06,10.66,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,Male by size?
californica,,,E 5948,132.94,21.24,13.37,7.73,5.47,,,10.54,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,Male by size?
californica,,,E 6600,143.44,,12.63,,5.07,21.64,11.25,9.69,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,Male by size?
californica,,,E 8522,147.67,20.66,13.38,7.8,5.35,22.73,12.34,10.74,,,Rancho La Brea,L,imm?,,Measurements probably OK,No spur,Male by size?
californica,,,E 6187,137.23,20.81,,7.8,5.46,22.15,,10.21,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,Male by size?
californica,,,E 7240,132.84,21.35,12.9,7.94,5.4,22.54,12.04,10.36,,,Rancho La Brea,L,adult,,,No spur,
californica,,,E 8449,139.07,,,8.43,5.49,23.23,13.03,11.31,,,Rancho La Brea,L,adult,,,No spur,
californica,,,E 7452,141.56,21.7,13.53,8.19,5.06,22.24,11.91,10.99,,,Rancho La Brea,L,adult,,,,
californica,,,E 5771,139.85,20.83,13.56,8.17,5.65,22.41,12.38,11.04,,,Rancho La Brea,L,adult,,,,
californica,,,E 5281,143.82,22.05,14.16,8.27,5.45,23.4,12.6,10.74,,,Rancho La Brea,L,adult,,,,
californica,,,E 6961,141.51,21.86,14.19,7.69,5.73,20.82,12.09,10.55,,,Rancho La Brea,L,adult,,,,
californica,,,E 6727,138.04,20.78,13.83,7.98,5.16,22.43,12.52,11.15,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,Male by size?
californica,,,E 8216,139.28,,12.82,8.01,5.45,21.75,11.56,10.51,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,Male by size?
californica,,,E 6795,136.61,20.33,13.31,7.14,5.29,21.32,11.86,10.59,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,Male by size?
californica,,,E 5058,134.97,19.94,13.57,7.95,5.53,21.94,11.43,10.47,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,Male by size?
californica,,,E 7449,139.1,22.1,14.25,7.55,5.06,22.84,12.84,11.14,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,Male by size?
californica,,,E 5193,138.05,21.77,13.43,8.29,5.81,22.04,12.11,10.88,,,Rancho La Brea,L,adult,,,Spur may be broken off because a part of shaft is missing,
californica,,,E 7314,138.86,,12.3,8.07,5.27,21.72,11.03,10.49,,,Rancho La Brea,L,imm?,,Measurements probably OK,,
californica,,,E 6722,138.46,21.54,13.73,8.54,5.58,22.28,12.87,11.06,,,Rancho La Brea,L,imm?,,Measurements probably OK,No spur,
californica,,,E 5764,139.76,22.3,14.08,8.57,5.71,22.87,12.58,10.8,,,Rancho La Brea,L,adult,,,,
