Species,Subspecies,Sex,CatNo,A - total length,B - proximal width,C - depth of cotyla medialis,D - minimum width of shaft,E - minimum depth of shaft,F - distal width,G - distance between dorsal surface of trochlea metatarsi III and plantar side of trochlea metatarsi II,H - depth of lateral side of trochlea metatarsi III,I - Proximal side of base of spur core to the lateral end of Trochlea metatarsi III,J - length of spur core,Place of collection,Date of collection,My comments,Collection,Remarks 1,,
gallopavo,merriami,f,112450,119.81,20.87,12.72,7.27,5.09,18.87,10.29,9.8,,,Wyoming: Converse Co,"January, 2003",adult,NHM LA,,,
gallopavo,merriami,m,112157,,,,,,,,,,,New Mexico: Otero Co,21-Apr-2002,adult,NHM LA,,,
gallopavo,merriami,m,112158,,,,,,,,,,,New Mexico: Otero Co,21-Apr-2002,adult,NHM LA,,,
gallopavo,merriami,m,112159,156.2,24.97,15.02,9.24,6,26.32,14.27,12.14,68.85,16.21,New Mexico: Otero Co,22-Apr-2002,adult,NHM LA,,spur probably fully developed but a little rough surface,
gallopavo,merriami,m,112160,164,25.88,15.83,9.92,6.27,25.54,13.39,12.59,79.99,14.38,New Mexico: Otero Co,24-Apr-2002,adult,NHM LA,,spur somewhat spongy,
gallopavo,mexicana,f,112429,133.29,20.97,13.36,8.03,5.54,20.95,11.49,9.98,,,"Mexico: Sonora, Yecora","March, 2003",adult,NHM LA,,,
gallopavo,mexicana,f,112446,137.71,21.09,12.53,8.35,5.84,21.87,11.66,10.28,,,"Mexico: Sonora, Yecora","March, 2003",adult,NHM LA,,,
gallopavo,mexicana,f,112447,135.13,20.75,13.24,8.58,5.38,21.93,12.15,10.24,,,"Mexico: Sonora, Yecora","March, 2003",adult,NHM LA,,,
gallopavo,mexicana,f,112452,132.93,20.54,12.66,8.09,5.2,21.38,11.27,10.22,,,"Mexico: Sonora, Yecora","March, 2003",adult,NHM LA,,,
gallopavo,mexicana,f?,112357,159.4,24.7,15.81,9.43,5.82,25.35,13.64,11.77,,,"Mexico: Sonora, Yecora","March, 2003","imm? Sternum not fully ossified, but TMT (no spur) looks like adult.",NHM LA,"Male, NOT female by size",No spur!,
