"","K-W chi-squared","df","p-value","significant (p<0.00625)"
"LENGTH",43.888894762899,7,2.24559433103446e-07,1
"WIDTH",7.28010459829994,7,0.400309734291689,0
"DEPTH",34.6343042413545,7,1.31005030410912e-05,1
"ROBUSTNESS",13.0293203338657,7,0.0713972209205289,0
