"","K-W chi-squared","df","p-value","significant (p<0.01)"
"LENGTH",8.81323951750144,4,0.0659409473423403,0
"WIDTH",4.65455197002426,4,0.324612849740088,0
"DEPTH",19.7796962021948,4,0.000551969861049544,1
"ROBUSTNESS",20.1470497376118,4,0.000467099735630873,1
