"","GRW","URW","Stasis","StrictStasis"
"LENGTH",0,0.042,0.033,0.925
"WIDTH",0,0.9,0.1,0
"DEPTH",0,0.722,0.278,0
"ROBUSTNESS",0,0.857,0.143,0
