"","GRW","URW","Stasis","StrictStasis"
"LENGTH",0.003,0.089,0.102,0.807
"WIDTH",0.001,0.08,0.919,0
"DEPTH",0.003,0.35,0.56,0.088
"ROBUSTNESS",0,0.068,0.107,0.825
