"","K-W chi-squared","df","p-value","significant (p<0.00625)"
"LENGTH",10.0653626336117,7,0.184899589191086,0
"WIDTH",16.3854949792824,7,0.0218185635421285,0
"DEPTH",14.5059577866958,7,0.0428803033538989,0
"ROBUSTNESS",11.032088303194,7,0.137225456160949,0
