"","K-W chi-squared","df","p-value","significant (p<0.00714285714285714)"
"LENGTH",6.93575716555823,6,0.326829256061882,0
"WIDTH",13.5431184099473,6,0.0351776882526198,0
"DEPTH",12.0990876088477,6,0.0597944378684992,0
"ROBUSTNESS",10.962722752492,6,0.0895353858819727,0
