"","GRW","URW","Stasis","StrictStasis"
"LENGTH",0,0.076,0.146,0.778
"WIDTH",0,0.055,0.085,0.86
"DEPTH",0,0.422,0.561,0.017
"ROBUSTNESS",0,0.613,0.353,0.035
