"","Length.U","Length.p","Width.U","Width.p","Robustness.U","Robustness.p"
"37",163.5,0.936134,215,0.351565,225,0.257713
"29",59,0.458107,99,0.726336,106,0.585089
"18",234,0.095653,264.5,0.212636,278,0.288983
"16",94,0.833675,36.5,0.17006,32,0.134157
"14",345,0.722129,326.5,0.930597,321,0.99421
"11",133,0.489491,156,0.817793,164,0.944104
"9",990.5,0.771972,1087,0.27114,1088,0.269024
"0",510,0.116143,344.5,0.554061,315,0.327333
