"","K-W chi-squared","df","p-value","significant (p<0.00714285714285714)"
"LENGTH",7.37627446143726,6,0.287446153779032,0
"WIDTH",21.0516698743349,6,0.0017958071946353,1
"DEPTH",18.6317240112086,6,0.00483298665760634,1
"ROBUSTNESS",20.9545342560864,6,0.00186944264488218,1
