Cat. #,Pit #,Prox W,Prox APL,Midshaft W,Midshaft APL,Distal W,Distal APL,Max Length,,,
K 3632,13,99,48,36,34,79,72,372,,,
K 3626,13,97,51,38,34,81,70,362,,,
K 3615,13,90,49,35,30,77,67,348,,,
K 3638,13,89,45,32,28,75,63,339,,,
K 3635,13,90,42,33,29,72,66,332,,,
K 3618,13,86,46,33,29,70,65,334,,,
K 3620,13,96,48,35,30,75,73,364,,,
K 3625,13,96,49,35,30,76,70,382,,,
K 3637,13,88,45,32,29,71,65,346,,,
K 3633,13,95,42,33,30,73,65,360,,,
K 3630,13,92,43,35,30,73,65,354,,,
K 3634,13,103,49,38,33,82,70,367,,,
K 3630,13,92,43,34,30,74,65,353,,,
K 3619,13,97,49,37,31,79,71,360,,,
K 3629,13,90,40,26,26,70,63,347,,,
K 3617,13,94,45,34,29,76,67,352,,,
K 3623,13,94,49,35,30,74,70,354,,,
K 3616,13,101,46,36,33,82,67,377,,,
K 3621,13,96,43,32,33,72,60,355,,,
K 3250,13,92,45,37,33,77,70,358,,,
K 3365,13,88,44,33,29,74,68,335,,,
K 3262,13,91,50,33,30,75,70,344,,,
K 3249,13,103,52,37,33,79,72,375,,,
K 3266,13,92,50,34,30,75,70,350,,,
K 3248,13,91,48,37,32,73,70,336,,,
K 3263,13,98,50,35,31,77,72,380,,,
K 3256,13,92,51,36,30,74,70,340,,,
K 3267,13,95,47,34,31,77,76,366,,,
K 3463,13,96,50,35,31,78,72,350,,,
K 3462,13,86,48,33,32,76,72,360,,,
K 3251,13,104,50,38,32,77,78,370,,,
K 3255,13,98,49,35,30,79,72,370,,,
K 3257,13,93,50,35,30,76,72,354,,,
K 3260,13,86,45,31,30,70,62,336,,,
K 3254,13,94,48,36,32,77,73,356,,,
K 3609,60,98,50,38,34,81,73,386,,,
K 3607,60,93,48,34,31,72,69,362,,,
K 3610,60,94,47,36,30,81,73,347,,,
K 3611,60,88,45,35,32,76,72,335,,,
K 3612,60,81,45,31,27,67,62,311,,,
K 3243,60,87,42,35,30,71,64,342,,,
K 3464,60,92,48,33,32,72,71,334,,,
K 3242,60,91,43,32,31,75,71,342,,,
K 3592,61,99,52,39,36,80,71,401,,,
K 3579,61,92,51,38,34,77,65,370,,,
K 3604,61,95,50,35,34,82,67,378,,,
K 3576,61,94,51,35,34,83,71,381,,,
K 3566,61,92,47,36,33,81,69,362,,,
K 3560,61,100,52,37,36,85,77,380,,,
K 3586,61,95,52,40,36,83,79,368,,,
K 3595,61,91,53,40,35,82,78,361,,,
K 3564,61,89,48,36,32,78,73,358,,,
K 3603,61,92,48,36,32,80,72,368,,,
K 3578,61,94,50,35,33,80,78,375,,,
K 3574,61,92,52,37,31,81,74,342,,,
K 3590,61,97,50,35,32,80,74,361,,,
K 3573,61,89,44,34,31,74,70,354,,,
K 3569,61,100,53,37,35,84,72,390,,,
K 3562,61,98,52,37,33,84,73,368,,,
K 3593,61,97,50,37,32,82,72,367,,,
K 3572,61,94,47,32,30,76,68,372,,,
K 3581,61,88,48,37,32,80,71,355,,,
K 3587,61,87,43,35,32,73,68,361,,,
K 3565,61,93,47,36,31,79,66,344,,,
K 3601,61,91,51,34,31,74,68,342,,,
K 3557,61,86,49,35,32,73,69,333,,,
K 3571,61,86,47,35,33,77,69,362,,,
K 3597,61,92,52,36,32,78,73,361,,,
K 3599,61,96,55,40,36,82,74,376,,,
K 3602,61,89,46,35,32,78,75,340,,,
K 3568,61,91,49,35,33,81,77,378,,,
K 3594,61,96,52,38,32,83,74,358,,,
K 3563,61,93,46,34,30,81,69,355,,,
K 3588,61,89,45,34,29,79,72,357,,,
K 3563,61,93,46,34,30,81,69,351,,,
K 3596,61,97,51,35,33,82,68,367,,,
K 3605,61,82,42,30,27,73,65,327,,,
K 3582,61,98,49,36,33,81,70,364,,,
K 3583,61,100,58,37,35,84,74,392,,,
K 3585,61,97,51,40,36,84,75,370,,,
K 3559,61,96,48,37,33,79,70,368,,,
K 3561,61,93,51,36,33,77,68,359,,,
K 3580,61,89,46,35,30,78,65,365,,,
K 3556,61,96,53,36,32,82,75,367,,,
K 3555,61,98,47,39,35,84,73,377,,,
K 3584,61,88,43,34,30,75,67,330,,,
K 3208,61,93,49,38,34,78,67,358,,,
K 3237,61,92,48,34,32,82,75,367,,,
K 3222,61,85,48,35,30,76,74,352,,,
K 3220,61,96,49,37,30,78,72,365,,,
K 3228,61,98,52,36,33,85,75,377,,,
K 3210,61,92,51,38,34,79,73,371,,,
K 3239,61,94,52,39,35,85,76,376,,,
K 3206,61,88,46,33,30,73,74,358,,,
K 3218,61,86,50,35,30,73,69,346,,,
K 3230,61,94,49,37,33,76,76,363,,,
K 3217,61,89,47,35,31,78,72,359,,,
K 3236,61,86,46,34,32,77,70,344,,,
K 3212,61,93,45,34,34,77,75,375,,,
K 3241,61,91,47,36,31,74,72,341,,,
K 3214,61,94,48,37,32,81,78,359,,,
K 3229,61,96,45,40,35,82,75,362,,,
K 3235,61,99,51,39,35,81,76,400,,,
K 3211,61,91,49,35,34,77,72,348,,,
K 3240,61,90,52,35,31,76,71,343,,,
K 3238,61,86,47,33,31,73,67,361,,,
K 3224,61,93,51,36,33,84,72,383,,,
K 3203,61,91,53,39,34,76,74,355,,,
K 3231,61,92,50,37,32,78,74,355,,,
K 3219,61,93,47,34,30,76,70,335,,,
K 3209,61,91,45,36,32,75,68,342,,,
K 3204,61,96,49,34,33,79,75,367,,,
K 3205,61,95,50,36,32,81,78,371,,,
K 3215,61,92,49,34,31,78,71,359,,,
K 3465,61,94,50,38,33,78,72,371,,,
K 3226,61,93,54,37,34,82,71,363,,,
K 3227,61,86,40,32,27,75,71,338,,,
K 3493,77,89,44,37,33,84,71,364,,,
K 3497,77,94,45,34,30,76,70,356,,,
K 3492,77,103,50,37,33,81,71,376,,,
K 3490,77,80,45,33,29,71,68,321,,,
K 3477,77,91,47,39,33,74,69,337,,,
K 3500,77,85,47,33,28,70,67,340,,,
K 3504,77,93,50,36,31,80,70,338,,,
K 3825,77,91,49,34,33,76,71,343,,,
K 3495,77,93,43,34,31,73,70,342,,,
K 3488,77,96,51,36,32,80,74,363,,,
K 3474,77,84,42,33,26,64,65,330,,,
K 3505,77,86,43,32,27,75,68,334,,,
K 3499,77,91,48,40,33,77,70,364,,,
K 3502,77,98,51,37,33,80,68,372,,,
K 3496,77,101,50,38,34,84,80,363,,,
K 3491,77,94,48,36,32,77,74,342,,,
