Catalog #,Pit #,Age,Total length,Proximal width,Proximal depth,Midshaft width,Midshaft depth,Distal width,Distal depth,Prox area,Mid area,Dist area
120363,?,0,263.5,48.1,17,19.1,15.8,46.4,24.2,817.7,301.78,1122.88
120363,?,0,263.3,47.2,17.3,19.1,16.6,45.9,24.3,816.56,317.06,1115.37
131373,?,0,263.3,48.3,17.7,20.7,18.2,46.7,24.8,854.91,376.74,1158.16
131373,?,0,264.7,49.4,17.7,21,17.4,46.6,24.3,874.38,365.4,1132.38
Bi141/86821,F,0,275,51.2,18.1,20.5,16.8,46.7,25.1,926.72,344.4,1172.17
Bi141/86821,F,0,274,49.1,18.5,20.5,16.9,45.2,26,908.35,346.45,1175.2
Bi1916/36096,M,0,275.5,53.7,18.9,23,19.5,49.8,27.6,1014.93,448.5,1374.48
101811,M,0,266.1,49.2,18.1,18.7,15.9,46.9,24,890.52,297.33,1125.6
101811,M,0,268.2,49.9,18.2,19.3,16.3,46.2,24.6,908.18,314.59,1136.52
SBMNH544,M,0,272,51,22,20.5,20,49,28.5,1122,410,1396.5
SBMNH544,M,0,271,55.5,18,21,18.4,49.5,27,999,386.4,1336.5
23334,M,0,263.8,49.3,18.8,19.4,16.3,46.8,26.8,926.84,316.22,1254.24
23334,M,0,270.2,48.2,17.4,19.7,16.4,44.6,24.8,838.68,323.08,1106.08
133377,AGE???,10000,,53.5,19.9,21.2,17.7,50.6,27.8,1064.65,375.24,1406.68
133377,AGE???,10000,279.1,54.9,19.7,21.4,17.6,51.5,27.2,1081.53,376.64,1400.8
133377,AGE???,10000,252.9,51,17.5,20.5,16.1,46.9,25.3,892.5,330.05,1186.57
