Catalog #,Pit #,Age,Total length,Proximal width,Proximal depth,Midshaft width,Midshaft depth,Distal width,Distal depth,Prox area,Mid area,Dist area
B6125,16,35000,139.5,36.8,18.1,11,14.8,24.6,19.5,666.08,162.8,479.7
B6127,16,35000,131.2,35.6,16.9,11.7,14.3,24.7,17.3,601.64,167.31,427.31
B7429,61,12000,136.3,36.2,17.3,10.3,13.1,25.3,17.7,626.26,134.93,447.81
B7447,61,12000,128.3,34.3,15.7,11.3,13.4,22.3,15.4,538.51,151.42,343.42
B7476,61,12000,136.6,36.2,16.8,11,14.3,23.3,17.9,608.16,157.3,417.07
B7594,61,12000,133.9,34.2,17,10.2,13.5,24.4,18.2,581.4,137.7,444.08
B7605,61,12000,132.3,35.3,17.2,10.9,13.4,23.2,16.7,607.16,146.06,387.44
B7624,61,12000,136.2,34.6,15.6,10.7,13.5,22,17,539.76,144.45,374
B7643,61,12000,139.4,37.4,17.8,11.7,14.3,24.7,18.6,665.72,167.31,459.42
B7676,61,12000,140.9,37.4,17.8,11.2,14.4,25.7,18.7,665.72,161.28,480.59
B7745,61,12000,132.7,34.4,15.5,9.9,13.4,22.7,16.8,533.2,132.66,381.36
B7748,61,12000,133,34.8,15.5,10.3,13.4,22.4,17,539.4,138.02,380.8
B7782,61,12000,136,34.9,17.8,9.5,13.4,24.2,16.6,621.22,127.3,401.72
B7843,61,12000,138.2,37.2,17.9,10.7,14.3,24.1,18.3,665.88,153.01,441.03
B7917,61,12000,130.8,34.6,17.5,11,13.6,23.1,17.1,605.5,149.6,395.01
B7920,61,12000,138.5,36.5,18,11.1,13.8,24.7,18.7,657,153.18,461.89
B7928,61,12000,129.3,33.4,17.5,11.1,13.8,22.1,17.5,584.5,153.18,386.75
B6651,67,12000,130.7,33.3,16.1,11.3,13.9,24.1,17.5,536.13,157.07,421.75
B6676,67,12000,136.2,35.8,17.3,11.3,13.9,22.2,18.6,619.34,157.07,412.92
B6690,67,12000,132.2,35.8,16.5,10.4,14.1,23.6,16.6,590.7,146.64,391.76
B6700,67,12000,137.7,35,16.1,10.7,13.4,24.3,18,563.5,143.38,437.4
B6734,67,12000,136.3,35.2,16.8,9.4,13.2,22.9,16.9,591.36,124.08,387.01
B6799,67,12000,126.5,32,15.7,10,13.3,20.1,16.1,502.4,133,323.61
B6816,67,12000,138.7,35.6,16.3,10.1,13.1,22.4,16.2,580.28,132.31,362.88
B6978,67,12000,137.1,34.8,17.4,10.6,13.2,22.2,16.9,605.52,139.92,375.18
B7035,67,12000,134.1,37.2,16.2,10.7,13.3,23.5,17.8,602.64,142.31,418.3
B7054,67,12000,130.7,34.7,17.1,10.6,13.7,23.4,17.3,593.37,145.22,404.82
B7106,67,12000,137.3,35.9,16.3,10.9,13.9,24.3,16.8,585.17,151.51,408.24
B7146,67,12000,144.3,38.1,17.4,11.8,14.3,26.6,18.2,662.94,168.74,484.12
B7253,67,12000,133.3,34.3,16.8,10.9,14,23.2,17.9,576.24,152.6,415.28
B7300,67,12000,136.6,35.7,16.9,11.1,14.8,23.6,17.2,603.33,164.28,405.92
B7403,67,12000,133.3,35.6,17.2,12.5,14.6,23.2,16.1,612.32,182.5,373.52
B6196,77,32000,141.6,36.5,17.6,12.8,14.9,25.3,17.4,642.4,190.72,440.22
B6218,77,32000,140.1,35.9,17.8,12.4,14.3,24.6,16.5,639.02,177.32,405.9
B6220,77,32000,142.4,35.1,17.5,11.8,14.6,25.4,18.5,614.25,172.28,469.9
B6256,77,32000,136.9,36.4,18,11.6,14.3,24.7,18.5,655.2,165.88,456.95
B6257,77,32000,140.4,34.8,17.4,11.7,14.6,24.5,17,605.52,170.82,416.5
B6337,77,32000,142.2,34.8,16.2,11.8,13.5,23.4,16.8,563.76,159.3,393.12
B6339,77,32000,139.8,35.7,17.8,12.2,14.3,25.8,17,635.46,174.46,438.6
B6370,77,32000,143,38.4,18.1,11.2,14.4,25.6,18.9,695.04,161.28,483.84
B8136,99,Unk,129.4,35,16.8,10.7,14.2,23.7,17.2,588,151.94,407.64
B8037,??,Unk,140.7,36.5,17.6,16.5,14.3,25.7,17.9,642.4,235.95,460.03
B8104,??,Unk,135.8,35.3,17.4,11.8,13.2,22.8,16.4,614.22,155.76,373.92
M1,,0,135.7,35.4,16.9,11.1,13.9,24,17.4,598.26,154.29,417.6
M2,,0,4.1,1.2,0.7,0.9,0.6,1.1,0.8,0.84,0.54,0.88
M3,,0,3,3.4,4.3,8,4.3,4.7,4.5,14.62,34.4,21.15
