Catalog #,Pit #,Age,Total length,Proximal width,Proximal depth,Midshaft width,Midshaft depth,Distal width,Distal depth,Prox area,Mid area,Dist area
B3095,3,15000,116.3,27.9,22.3,14.9,9,33.1,20.7,622.2,134.1,685.2
B3147,3,15000,121.8,27.8,22.7,16.1,10.3,32.6,21.1,631.1,165.8,687.9
B3176,3,15000,111.9,26.4,21.1,13.5,9.3,29.8,20,557,125.6,596
B3177,3,15000,117.4,26.2,20.5,14.6,8.5,30.4,19.2,537.1,124.1,583.7
B3179,3,15000,116.7,27.4,22.9,15,8.8,32.9,20.8,627.5,132,684.3
B3198,3,15000,131.4,29.9,24,15.3,10.7,32.6,21.8,717.6,163.7,710.7
B3220,3,15000,119.9,27.1,21.7,14.7,9.4,28.6,18.1,588.1,138.2,517.7
B3225,3,15000,121.5,28.4,22.1,13.9,9.2,32.3,21.1,627.6,127.9,681.5
B3265,3,15000,123.6,29.8,24.6,15.9,10.3,33.9,22.8,733.1,163.8,772.9
B3266,3,15000,119.7,27.5,21.6,14.6,9.8,30.7,19.1,594,143.1,586.4
B3284,3,15000,118.9,27.4,21.4,14.2,10.3,30.9,20.5,586.4,146.3,633.5
B3287,3,15000,117.3,27.2,22.5,14.7,10,31.1,20.3,612,147,631.3
B3290,3,15000,115.5,28.1,23,15.7,10.1,31.6,19.9,646.3,158.6,628.8
B3298,3,15000,116.5,27.3,19.9,13.7,8.7,29.6,20.7,543.3,119.2,612.7
B3306,3,15000,117.9,27.5,23.1,15.7,10.7,31.3,21.7,635.3,168,679.2
B3329,3,15000,123.7,27.2,22.7,14.7,9.9,31.7,21.8,617.4,145.5,691.1
B3332,3,15000,120.1,28.2,23.1,15.5,10.1,32.2,19.9,651.4,156.6,640.8
B3429,3,15000,120.4,29.7,22.2,15.6,10.1,31.3,21.7,659.3,157.6,679.2
B3577,3,15000,122,28.9,22.8,16,10.4,32,21.1,658.9,166.4,675.2
B3589,3,15000,119.2,27.6,22.2,14.2,9.6,30.6,19.4,612.7,136.3,593.6
