PIT #,DST-PRX L,DST W,DST D,MED W,MED D,PRX W,PRX D
67,211,55,22,18,23,48,36
67,208,49,21,18,24,46,33
67,193,48,19,18,21,44,34
67,202,49,19,18,23,45,32
67,216,52,21,20,26,48,35
67,203,51,19,19,25,45,32
67,204,50,21,18,22,47,33
67,206,50,20,19,25,45,33
67,212,52,22,20,24,48,34
67,207,49,20,18,23,44,33
77,220,53,22,18,23,47,33
77,211,49,21,18,24,46,34
77,218,51,22,18,25,49,34
77,213,50,21,17,22,47,35
77,211,54,23,20,25,50,35
77,203,47,20,17,23,44,32
77,206,52,21,18,23,47,35
77,213,46,21,17,25,45,32
77,220,54,22,20,27,50,35
77,206,48,20,17,20,45,33
77,202,50,20,19,24,45,34
77,218,51,22,19,25,48,35
77,206,49,20,18,21,47,33
77,218,51,22,19,25,47,35
77,210,50,20,18,21,47,34
77,213,53,21,20,24,50,35
77,218,52,22,20,27,49,36
77,207,51,20,18,23,46,35
77,185,46,19,18,22,43,32
77,211,51,21,20,25,46,36
77,208,51,20,19,23,47,36
77,202,52,21,21,29,49,36
77,209,51,21,19,24,47,35
77,200,50,20,18,24,46,33
77,232,52,22,19,26,51,35
77,210,50,21,19,25,47,29
77,218,52,21,18,22,48,36
77,216,54,23,19,25,51,35
77,207,51,21,19,23,49,34
77,226,54,22,20,26,50,35
77,202,51,21,20,24,47,34
77,218,49,21,19,25,48,34
77,200,49,20,18,22,46,34
77,209,49,21,18,22,47,34
77,215,50,21,20,23,47,35
77,202,49,19,18,22,44,33
77,203,48,19,17,21,46,31
77,209,49,20,18,22,48,35
77,221,54,22,19,23,48,35
77,214,52,22,20,25,49,35
