"","GRW","URW","Stasis"
"Max.Length",0.003,0.984,0.014
"Prox.w",0.003,0.984,0.014
"Prox.d",0.002,0.984,0.014
"Mids.W",0.002,0.982,0.015
"Mids.d",0.003,0.979,0.018
"Dist.W",0.003,0.977,0.02
"Dist.d",0.002,0.983,0.015
