"","GRW","URW","Stasis"
"Prox.W",0.021,0.568,0.411
"Prox.APL",0.027,0.726,0.247
"Midshaft.W",0.021,0.578,0.401
"Midshaft.APL",0.033,0.889,0.078
"Distal.W",0.031,0.764,0.205
"Distal.APL",0.027,0.739,0.234
"Max.Length",0.03,0.775,0.195
