"","GRW","URW","Stasis"
"Total.length",0.015,0.412,0.573
"Proximal.width",0.028,0.703,0.27
"Proximal.depth",0.023,0.636,0.341
"Midshaft.width",0.014,0.404,0.581
"Midshaft.depth",0.02,0.547,0.432
"Distal.width",0.029,0.773,0.198
"Distal.depth",0.041,0.922,0.038
