"","GRW","URW","Stasis"
"Total.length",0.002,0.976,0.022
"Proximal.width",0.002,0.98,0.017
"Proximal.depth",0.003,0.983,0.015
"Midshaft.width",0.003,0.975,0.023
"Midshaft.depth",0.002,0.981,0.017
"Distal.width",0.002,0.991,0.007
"Distal.depth",0.002,0.979,0.019
