"","GRW","URW","Stasis"
"DST.PRX.L",0.006,0.958,0.036
"DST.W",0.003,0.986,0.011
"DST.D",0.003,0.981,0.016
"MED.W",0.002,0.987,0.011
"MED.D",0.003,0.985,0.012
"PRX.W",0.003,0.985,0.013
"PRX.D",0.002,0.982,0.015
