"","GRW","URW","Stasis"
"L1",0.033,0.395,0.572
"L2",0.034,0.414,0.552
"L3",0.027,0.311,0.662
"L4",0.03,0.356,0.614
"L5",0.034,0.406,0.56
"L6",0.033,0.402,0.564
