PIT #,LENGTH,PROX.W,PROX.D,PROX.A,MID.W,MID.D,MID.A,DIST.W,DIST.D,DIST.A
16,92.7,12.13,6.22,75.4486,5.26,4.31,22.6706,14.07,8.52,119.8764
16,88.15,14.16,6.8,96.288,5.66,5,28.3,14.29,8.59,122.7511
16,85.11,13.07,6.73,87.9611,5.5,4.42,24.31,13.01,8.37,108.8937
16,89.53,13.72,7.52,103.1744,5.27,4.44,23.3988,13.92,7.58,105.5136
16,84.11,14.48,7.54,109.1792,5.49,4.26,23.3874,14.92,9.34,139.3528
16,90.85,14.78,7.68,113.5104,5.81,4.77,27.7137,14.58,9.15,133.407
16,90.35,15,8.08,121.2,5.61,4.57,25.6377,14.66,9.23,135.3118
16,91.39,14.12,7.48,105.6176,5.9,4.33,25.547,14.54,9.49,137.9846
16,93.65,13.63,6.99,95.2737,5.33,4.48,23.8784,14.3,8.82,126.126
16,87.24,14.34,7.32,104.9688,5.59,4.68,26.1612,14.14,9.05,127.967
16,89.42,14.52,7.53,109.3356,5.38,4.61,24.8018,14.74,9.32,137.3768
16,90.83,14.28,7.64,109.0992,5.57,4.45,24.7865,14.36,8.84,126.9424
16,85.64,13.31,6.58,87.5798,5.21,4.19,21.8299,13.85,9.15,126.7275
16,89.54,13.88,7.08,98.2704,6.31,4.57,28.8367,14.26,9.25,131.905
16,90.17,13.32,7.85,104.562,5.73,5.11,29.2803,14.42,8.48,122.2816
16,90.87,14.07,7.07,99.4749,5.23,4.3,22.489,14.25,9.31,132.6675
16,87.27,15.02,7.69,115.5038,5.72,4.3,24.596,14.67,10.09,148.0203
16,90.15,12.85,6.9,88.665,5.42,3.98,21.5716,12.92,8.08,104.3936
16,86.6,13.34,7.03,93.7802,5.22,4.43,23.1246,12.22,7.02,85.7844
16,89.2,13.16,7.64,100.5424,5.29,4.04,21.3716,14.72,9.3,136.896
16,91.73,13.62,6.83,93.0246,5.31,4.11,21.8241,11.79,6.57,77.4603
16,86.81,14.2,8.47,120.274,5.38,4.29,23.0802,14.78,8.77,129.6206
16,87.26,13.45,6.92,93.074,5.19,4.43,22.9917,13.75,7.86,108.075
16,87,13.09,7.03,92.0227,3.46,3.82,13.2172,14.04,7.57,106.2828
16,91.85,12.63,6.95,87.7785,5.36,4.81,25.7816,13.98,8.81,123.1638
16,85.5,12.85,6.48,83.268,4.04,3.89,15.7156,12.32,6.7,82.544
16,93.55,14.17,7.07,100.1819,5.73,4.38,25.0974,14.7,9,132.3
16,89.61,12.93,6.77,87.5361,5.06,5.02,25.4012,13.98,7.59,106.1082
