"","GRW","URW","Stasis"
"Max.Length",0.002,0.98,0.018
"Prox.w",0.003,0.981,0.016
"Prox.d",0.002,0.98,0.017
"Mids.W",0.003,0.987,0.011
"Mids.d",0.002,0.98,0.018
"Dist.W",0.004,0.97,0.027
"Dist.d",0.003,0.977,0.02
