"","GRW","URW","Stasis"
"LENGTH",0.034,0.21,0.756
"PROX.W",0.014,0.088,0.898
"PROX.D",0.013,0.081,0.907
"PROX.A",0.013,0.081,0.906
"MID.W",0.004,0.029,0.967
"MID.D",0.01,0.059,0.931
"MID.A",NA,NA,NA
"DIST.W",0.018,0.109,0.873
"DIST.D",0.019,0.122,0.859
"DIST.A",0.018,0.109,0.874
