sp,measurement,N,GRW,URW,Stasis,V7
gymnogypsHumeri,Midshaft.depth,38,0.292,0,0.708,3
gymnogypsHumeri,Distal.width,38,0.285,0,0.715,3
gymnogypsHumeri,Distal.depth,38,0.292,0,0.708,3
gymnogypsTibiotarsi,Total.length,63,0.002,0.976,0.022,2
gymnogypsTibiotarsi,Proximal.width,63,0.002,0.98,0.017,2
gymnogypsTibiotarsi,Proximal.depth,63,0.003,0.983,0.015,2
gymnogypsTibiotarsi,Midshaft.width,63,0.003,0.975,0.023,2
gymnogypsTibiotarsi,Midshaft.depth,63,0.002,0.981,0.017,2
gymnogypsTibiotarsi,Distal.width,63,0.002,0.991,0.007,2
gymnogypsTibiotarsi,Distal.depth,63,0.002,0.979,0.019,2
gymnogypsTMT,Total.length,228,0.021,0.204,0.775,3
gymnogypsTMT,Proximal.width,228,0.027,0.304,0.669,3
gymnogypsTMT,Proximal.depth,228,0.043,0.497,0.461,2
gymnogypsTMT,Midshaft.width,228,0.036,0.392,0.572,3
gymnogypsTMT,Midshaft.depth,228,0.023,0.247,0.729,3
gymnogypsTMT,Distal.width,228,0.019,0.204,0.777,3
gymnogypsTMT,Distal.depth,228,0.036,0.404,0.56,3
haliaeetusTMT,MaxLength,156,0.05,0.57,0.38,2
haliaeetusTMT,MidW,156,0.046,0.544,0.41,2
haliaeetusTMT,MidD,156,0.081,0.823,0.097,2
harlaniAstragalus,LENGTH,82,0.047,0.553,0.4,2
harlaniAstragalus,WIDTH,82,0.045,0.543,0.412,2
harlaniPatella,DV.LENGTH,50,0.03,0.734,0.236,2
harlaniPatella,TRANS.W,50,0.027,0.763,0.21,2
harlaniPatella,DEPTH,50,0.029,0.722,0.248,2
smilodonAstragali,L1,342,0.033,0.395,0.572,3
smilodonAstragali,L2,342,0.034,0.414,0.552,3
smilodonAstragali,L3,342,0.027,0.311,0.662,3
smilodonAstragali,L4,342,0.03,0.356,0.614,3
smilodonAstragali,L5,342,0.034,0.406,0.56,3
smilodonAstragali,L6,342,0.033,0.402,0.564,3
smilodonFemora,Prox.W,261,0.033,0.915,0.052,2
smilodonFemora,Prox.APL,261,0.033,0.922,0.045,2
smilodonFemora,Midshaft.W,261,0.033,0.897,0.07,2
smilodonFemora,Midshaft.APL,261,0.038,0.935,0.026,2
smilodonFemora,Distal.W,261,0.034,0.943,0.022,2
smilodonFemora,Distal.APL,261,0.032,0.894,0.074,2
smilodonFemora,Max.Length,261,0.033,0.914,0.053,2
smilodonHumeri,Prox.W,284,0.021,0.568,0.411,2
smilodonHumeri,Prox.APL,284,0.027,0.726,0.247,2
smilodonHumeri,Midshaft.W,284,0.021,0.578,0.401,2
smilodonHumeri,Midshaft.APL,284,0.033,0.889,0.078,2
smilodonHumeri,Distal.W,284,0.031,0.764,0.205,2
smilodonHumeri,Distal.APL,284,0.027,0.739,0.234,2
smilodonHumeri,Max.Length,284,0.03,0.775,0.195,2
smilodonMC3,LENGTH,275,0.019,0.402,0.579,3
smilodonMC3,MIDSHW,275,0.008,0.224,0.768,3
smilodonMC3,MIDSHD,275,0.009,0.24,0.751,3
smilodonMC3,DISTW,275,0.008,0.22,0.773,3
smilodonMT3,LENGTH,283,0.03,0.349,0.621,3
smilodonMT3,MIDSHW,283,0.032,0.39,0.578,3
smilodonMT3,MIDSHD,283,0.032,0.368,0.601,3
smilodonMT3,DISTW,283,0.026,0.289,0.685,3
