"","x"
"1","Corvus"
LENGTH
"Age.ka" "N" "Mean" "SD" "CV"
"29" 9 45.1555555555556 5.66725487143271 7.96780038659882
"21" 1 49 NA NA
"18" 13 46.4307692307692 2.07781319957009 22.3459785703431
"16" 6 46.1166666666667 3.59522831912894 12.8271871973461
"14" 32 45.859375 2.21619542852596 20.6928389120007
"11" 7 46.1 2.35655115228448 19.5624864562392
"9" 62 46.1483870967742 2.34295189566592 19.6966856989856
"0" 15 65.72 1.84166074121003 35.6851826883271
WIDTH
"Age.ka" "N" "Mean" "SD" "CV"
"29" 9 3.97777777777778 0.31135902820449 12.7755337647229
"21" 1 4 NA NA
"18" 13 4.01538461538462 0.443181967605019 9.06035197479713
"16" 6 4.5 0.766811580507233 5.86845597326964
"14" 32 4.075 0.405605878941933 10.0466985602627
"11" 7 4.2 0.6 7
"9" 62 4.18064516129032 0.427665684383437 9.77549827809432
"0" 15 4.42 0.691995045399274 6.38732896916871
DEPTH
"Age.ka" "N" "Mean" "SD" "CV"
"29" 9 4.31111111111111 0.472875365303704 9.11680207392979
"21" 1 4.9 NA NA
"18" 13 4.54615384615385 0.578237818167382 7.86208321787399
"16" 6 4.86666666666667 0.818942407417437 5.94262383116032
"14" 32 4.665625 0.494230829575843 9.44017394464064
"11" 7 4.11428571428571 0.437525509460387 9.40353333765608
"9" 62 4.31129032258065 0.545053716320973 7.90984483452599
"0" 15 5.11333333333333 0.48677754770776 10.5044560033881
