"","x"
"1","Corvus"
WIDTH
LENGTH
"Age.ka" "N" "Mean" "SD" "CV"
"29" 10 37.61 1.46624994079757 25.6504699188883
"18" 6 36.9166666666667 1.72443227372566 21.4080119173991
"14" 2 39.75 1.76776695296637 22.4859956417322
"9" 15 38.0066666666667 1.16402421837021 32.6510961428973
"0" 16 42.2375 5.82739221264538 7.24809631113298
WIDTH
"Age.ka" "N" "Mean" "SD" "CV"
"29" 10 2.51 0.292308816911917 8.58680906897295
"18" 6 2.5 0.236643191323985 10.5644281841065
"14" 2 2.45 0.212132034355964 11.5494107593803
"9" 15 2.31333333333333 0.140746310109799 16.4361916950338
"0" 16 1.2125 0.241867732448956 5.01307052298051
DEPTH
"Age.ka" "N" "Mean" "SD" "CV"
"29" 10 2.58 0.304776785350999 8.46521166967726
"18" 6 2.38333333333333 0.248327740429189 9.59753158956054
"14" 2 2.4 0.424264068711929 5.65685424949238
"9" 15 2.42666666666667 0.291465917308321 8.32573046302244
"0" 16 1.825 0.378593889720018 4.82046871213279
