"","Length.U","Length.p","Width.U","Width.p","Depth.U","Depth.p","Robustness.U","Robustness.p"
"29","371.5","0.0721","455.5","0.2809","492.5","0.4493","508","0.5347"
"21","111.5","0.2859","59","0.8205","107.5","0.3325","76","0.8605"
"18","811.5","0.9971","684.5","0.3506","899","0.5297","860","0.7319"
"16","394","0.9875","520.5","0.1935","548","0.1128","565","0.0785"
"14","1448","0.2117","1550","0.4609","2236.5","0.0063*","2150","0.0221"
"11","439.5","0.8575","451.5","0.9495","265.5","0.0611","345","0.2729"
"9","2272","0.7207","2927","0.0142","1583","9e-04","2331","0.9165"
"0","1040","0*","240","0.0105","756","0.0314","53","0*"
