"LENGTH.logL" "LENGTH.K" "LENGTH.AICc" "LENGTH.dAICc" "LENGTH.Akaike.wt" "WIDTH.logL" "WIDTH.K" "WIDTH.AICc" "WIDTH.dAICc" "WIDTH.Akaike.wt" "DEPTH.logL" "DEPTH.K" "DEPTH.AICc" "DEPTH.dAICc" "DEPTH.Akaike.wt" "ROBUSTNESS.logL" "ROBUSTNESS.K" "ROBUSTNESS.AICc" "ROBUSTNESS.dAICc" "ROBUSTNESS.Akaike.wt"
-3.115979046594 3 36.231958093188 26.0321245237949 0 8.40147661357559 3 13.1970467728488 26.3249883426299 0 5.41642208463909 3 19.1671558307218 26.1460593859824 0 18.7398653796263 3 -7.47973075925261 26.1350701596224 0
-3.43325011802987 2 16.8665002360597 6.66666666666667 0.033 8.23063745155721 2 -6.46127490311442 6.66666666666667 0.033 5.15611844429694 2 -0.31223688859388 6.66666666666667 0.033 18.4740671261042 2 -26.9481342522083 6.66666666666666 0.033
-3.40065549465084 2 16.8013109893017 6.6014774199086 0.034 8.23063745155721 2 -6.46127490311442 6.66666666666667 0.033 5.57614052331701 2 -1.15228104663403 5.82662250862652 0.05 18.4813921997747 2 -26.9627843995495 6.65201651932554 0.034
-3.43325011802987 1 10.1998335693931 0 0.932 8.23063745155721 1 -13.1279415697811 0 0.933 5.15611844429694 1 -6.97890355526055 0 0.917 18.4740671261042 1 -33.614800918875 0 0.933
