"","Length.U","Length.p","Width.U","Width.p","Depth.U","Depth.p","Robustness.U","Robustness.p"
"29","553.5","0.0809","544","0.1006","652","0.0022*","612.5","0.0118"
"18","486.5","0.0163","726.5","0.9919","603","0.212","704","0.8148"
"14","167.5","0.2307","50.5","0.0911","145","0.5182","93","0.5369"
"9","891.5","0.4351","777.5","0.7701","569.5","0.0233","566.5","0.0224"
"0","272","0.7133","272.5","0.7156","401.5","0.0988","395","0.1237"
