"LENGTH.logL" "LENGTH.K" "LENGTH.AICc" "LENGTH.Akaike.wt" "WIDTH.logL" "WIDTH.K" "WIDTH.AICc" "WIDTH.Akaike.wt" "DEPTH.logL" "DEPTH.K" "DEPTH.AICc" "DEPTH.Akaike.wt" "ROBUSTNESS.logL" "ROBUSTNESS.K" "ROBUSTNESS.AICc" "ROBUSTNESS.Akaike.wt"
-18.8408387611747 3 51.6816775223494 0.088 6.35426186980761 3 1.29147626038479 0.047 -1.63105036385859 3 17.2621007277172 0.023 15.5004686189013 3 -17.0009372378026 0.007
-20.0334116947496 2 47.0668233894991 0.885 3.56637797776443 2 -0.132755955528861 0.096 -2.01958918547623 2 11.0391783709525 0.509 15.3948674113844 2 -23.7897348227688 0.196
-23.5203462000813 2 54.0406924001625 0.027 3.54354759116525 2 -0.0870951823305042 0.094 -2.10106117375194 2 11.2021223475039 0.469 15.2081049825833 2 -23.4162099651666 0.163
-718.341252129889 1 1439.48250425978 0 3.54282393861155 1 -4.28564787722311 0.764 -14.158825004765 1 31.1176500095299 0 14.4660935105477 1 -26.1321870210954 0.634
