"","5%","50%","95%"
"3",12935.85,18499,23802.1
"4",16184.75,27435.5,38293.1
"10",2961.5,11867.5,21260
"13",17180.95,18179,19052.05
"16",11256.7,25199,38442.15
"60",26460.8,29367,32432.1
"61-67",8417.6,12798.5,17377.05
"77",31000.95,34844,39157.55
"81",10779.9,17107,23278.2
"91",24974.95,34023.5,42210.25
"2051",20116.8,26923,33117.05
