"","K-W chi-squared","df","p-value","significant (p<0.01)"
"LENGTH",5.72148920936893,4,0.220935486351256,0
"WIDTH",34.6650855846566,4,5.44245711174305e-07,1
"DEPTH",21.67973973871,4,0.000232087238091075,1
"ROBUSTNESS",33.4468901474565,4,9.67493887207129e-07,1
