"","V1","V2","V3"
"count",NA,NA,NA
"","smilodonHumeri.csv","Prox.W","284"
"","smilodonHumeri.csv","Prox.APL","284"
"","smilodonHumeri.csv","Midshaft.W","284"
"","smilodonHumeri.csv","Midshaft.APL","284"
"","smilodonHumeri.csv","Distal.W","284"
"","smilodonHumeri.csv","Distal.APL","284"
"","smilodonHumeri.csv","Max.Length","284"
"","smilodonMC3.csv","LENGTH","275"
"","smilodonMC3.csv","MIDSHW","275"
"","smilodonMC3.csv","MIDSHD","275"
"","smilodonMC3.csv","DISTW","275"
"","smilodonMT3.csv","LENGTH","283"
"","smilodonMT3.csv","MIDSHW","283"
"","smilodonMT3.csv","MIDSHD","283"
"","smilodonMT3.csv","DISTW","283"
