"","GRW","URW","Stasis"
"Prox.W",0.033,0.915,0.052
"Prox.APL",0.033,0.922,0.045
"Midshaft.W",0.033,0.897,0.07
"Midshaft.APL",0.038,0.935,0.026
"Distal.W",0.034,0.943,0.022
"Distal.APL",0.032,0.894,0.074
"Max.Length",0.033,0.914,0.053
