"","GRW","URW","Stasis"
"Total.length",0.321,0,0.679
"Proximal.width",0.317,0,0.683
"Proximal.depth",0.285,0,0.715
"Midshaft.width",0.273,0,0.727
"Midshaft.depth",0.292,0,0.708
"Distal.width",0.285,0,0.715
"Distal.depth",0.292,0,0.708
