"","GRW","URW","Stasis"
"Total.length",0.021,0.204,0.775
"Proximal.width",0.027,0.304,0.669
"Proximal.depth",0.043,0.497,0.461
"Midshaft.width",0.036,0.392,0.572
"Midshaft.depth",0.023,0.247,0.729
"Distal.width",0.019,0.204,0.777
"Distal.depth",0.036,0.404,0.56
