"","GRW","URW","Stasis"
"Total.length",0.025,0.428,0.547
"Proximal.width",0.027,0.573,0.401
"Proximal.depth",0.025,0.664,0.311
"Midshaft.width",0.024,0.661,0.315
"Midshaft.depth",0.028,0.747,0.225
"Distal.width",0.032,0.464,0.505
"Distal.depth",0.025,0.682,0.293
