"","GRW","URW","Stasis"
"LENGTH",0.003,0.946,0.051
"DST.W",0.003,0.93,0.068
"DST.D",0.002,0.969,0.028
"MED.W",0.003,0.981,0.016
"MED.D",0.002,0.976,0.021
"PRX.W",0.003,0.966,0.031
"PRX.D",0.002,0.975,0.023
