AGE,LENGTH,WIDTH,DEPTH,AREA,ROBUSTNESS
0,73.7,4.3,3.5,15.05,0.204206242
0,73.8,4.9,4.9,24.01,0.325338753
0,74.2,4.3,3.5,15.05,0.202830189
0,74.3,4.5,3.6,16.2,0.218034993
0,74.7,5.2,4.7,24.44,0.327175368
0,75.4,4.6,4,18.4,0.24403183
0,75.5,5,3.7,18.5,0.245033113
0,76,4.5,3.3,14.85,0.195394737
0,76.5,5.5,5.7,31.35,0.409803922
0,77.5,4.9,4.6,22.54,0.29083871
0,77.7,4.2,4.9,20.58,0.264864865
0,78.5,5,4.5,22.5,0.286624204
0,78.5,4.8,4.8,23.04,0.293503185
0,79,7,5,35,0.443037975
0,79,5,4.6,23,0.291139241
0,79.2,5.6,4.4,24.64,0.311111111
0,80,5.1,5,25.5,0.31875
0,82.1,5.2,5.1,26.52,0.323020706
0,62.5,5.2,4.5,23.4,0.3744
