Pit #,Prox W,Prox APL,Midshaft W,Midshaft APL,Distal W,Distal APL,Max Length
4,74,72,36,50,95,51,320
4,74,71,42,52,98,52,313
4,67,70,34,47,90,50,305
4,98,87,46,60,118,60,365
4,86,76,42,54,114,65,360
4,77,76,36,47,100,56,343
4,78,83,37,54,102,57,338
4,78,77,40,47,100,58,317
13,77,66,39,51,100,60,317
13,76,65,36,50,104,65,344
13,76,72,43,56,107,60,345
13,73,67,34,48,99,60,316
13,78,74,37,59,112,65,343
13,93,78,38,60,111,65,358
13,80,69,39,50,106,65,337
13,77,71,43,54,111,65,338
13,79,73,38,47,105,63,345
13,77,69,43,58,108,65,350
13,71,66,38,49,97,57,316
13,75,69,35,51,100,57,319
13,78,71,43,46,101,55,338
13,81,72,40,51,109,65,333
13,73,65,38,51,99,61,316
13,84,68,35,46,106,59,345
13,83,70,38,55,108,61,355
13,81,70,37,55,111,64,346
13,75,67,38,52,103,62,332
13,78,70,38,48,106,61,347
60,77,69,40,51,101,58,333
60,85,73,42,56,110,61,339
60,75,69,34,56,106,63,350
60,78,68,37,50,100,57,341
60,87,77,41,58,120,65,354
60,80,73,38,51,106,63,347
60,83,70,40,47,111,60,338
60,79,67,35,47,103,58,321
60,78,68,38,50,104,57,340
60,88,76,41,57,120,63,357
60,77,72,36,51,106,60,356
60,77,67,40,54,101,56,327
61,83,76,44,56,107,65,362
61,84,75,39,52,107,66,356
61,76,72,39,51,104,60,327
61,80,68,40,51,106,60,328
61,78,68,41,53,107,62,337
61,76,69,38,50,106,61,313
61,84,71,40,56,108,62,328
61,78,76,38,52,107,62,327
61,80,71,36,53,101,60,315
61,78,71,39,52,108,62,327
61,88,77,41,55,113,65,358
61,85,75,36,52,110,61,339
61,84,70,40,52,105,62,331
61,79,71,39,52,103,61,349
61,79,69,40,50,99,58,324
61,80,69,36,46,101,62,320
61,79,70,39,48,99,57,328
61,77,66,40,49,92,56,330
61,87,75,43,55,111,65,344
61,82,81,36,55,120,70,371
61,88,79,37,56,120,70,375
61,83,75,41,54,108,61,346
61,78,73,40,51,109,58,341
61,88,75,41,57,116,68,347
61,82,74,41,56,111,66,360
61,79,69,37,47,111,64,344
61,79,72,36,52,107,65,341
61,88,75,40,57,113,66,361
61,76,69,36,52,103,59,334
61,83,73,39,53,112,71,366
61,82,73,41,54,113,63,342
61,77,69,36,48,106,58,355
61,84,69,38,55,105,58,335
61,80,69,35,51,105,57,338
77,81,73,37,57,109,58,338
77,75,73,36,50,98,58,328
77,74,67,35,46,97,56,319
77,72,65,35,46,91,53,295
77,73,64,38,47,97,56,318
77,78,69,42,53,105,58,326
77,81,75,39,55,106,59,336
77,71,68,38,47,99,55,320
77,77,66,36,48,106,58,316
77,78,64,37,47,104,62,331
77,79,64,37,52,102,58,322
77,74,68,39,50,99,55,322
77,80,72,37,54,103,57,335
77,76,64,32,44,102,50,308
77,86,71,41,53,115,65,349
77,81,73,35,53,102,54,314
77,67,59,33,46,90,44,314
67,82,78,45,59,110,67,357
67,77,68,35,55,104,60,333
67,90,79,46,57,124,68,375
67,82,73,36,53,105,63,351
67,80,74,38,49,100,58,326
67,79,69,41,50,105,60,320
67,74,65,38,55,100,55,307
67,75,68,37,48,99,57,325
67,77,70,39,50,104,59,328
67,78,70,39,48,110,60,340
67,80,72,39,52,108,62,352
67,89,75,44,60,116,66,374
67,79,75,39,57,105,60,368
67,75,66,37,49,100,59,305
67,80,70,41,55,104,58,345
67,87,75,38,54,112,66,352
67,78,66,38,52,99,60,330
67,82,72,36,53,109,64,350
67,82,74,41,56,108,64,347
67,85,76,43,60,109,64,360
67,86,76,41,52,111,65,343
67,85,71,45,55,111,65,353
67,82,66,37,53,108,61,356
67,70,63,38,52,97,52,322
67,83,73,40,58,111,65,353
67,78,70,32,49,111,57,326
67,77,69,36,47,103,56,328
67,80,70,37,56,106,59,345
67,84,71,36,52,114,67,368
67,70,66,37,46,95,54,330
67,81,71,35,46,106,62,347
67,80,74,37,53,110,63,351
67,74,67,35,44,96,56,316
67,76,68,39,48,98,57,326
67,84,72,38,50,106,60,351
67,74,68,35,46,94,58,317
67,86,75,37,56,109,66,357
67,81,73,36,53,112,65,355
67,71,68,36,53,98,56,317
67,68,65,37,53,92,55,297
67,83,70,39,56,108,64,340
67,89,78,43,54,116,67,353
67,85,77,40,59,112,66,370
67,90,81,38,59,116,68,357
