Pit #,Total length,Proximal width,Proximal depth,Midshaft width,Midshaft depth,Distal width,Distal depth
3,124.5,30.3,24,15.6,10.5,33.3,22.2
3,116.8,28.1,20.5,15.8,10.1,31.6,19.2
3,122.5,28.2,22.6,14.6,9.8,31.5,19.3
3,118.7,28.8,22.9,15.4,9.5,32.1,21.4
4,115.5,28.9,23,15.3,9.6,31.9,22
4,130.8,30,23.2,14.9,9.7,32.9,22.2
4,125.5,29.1,23.5,14.7,9.6,32.8,21.4
4,125.3,28.6,20.3,14.2,9.5,31.5,18.9
4,116.1,29,22.7,15.3,9.7,32,20.7
4,117.9,28.3,21.4,15.7,9.7,30.7,20.6
4,122.2,29.9,22.5,15.1,10.5,32.6,21.5
4,118.5,28.6,20.5,15.8,9.8,30.5,20.6
4,120.9,28.8,23.1,14.5,10.2,31.8,20.5
4,116.3,28.4,26.7,14.7,8.8,31,20.4
4,117.7,27.7,22.1,15,9.5,30.9,20.3
4,120.6,28.5,24.2,14.7,10.3,31.9,21.1
4,121.6,28.2,20.9,14.7,10.3,31.1,20.9
4,122,27.4,23,14.3,9.8,32.4,21.1
4,120.2,27.9,23.3,14.3,9.7,32.4,21.3
4,126.3,30.1,23.5,15.9,10.3,32.6,22.5
4,118.4,27.7,22.4,15.5,10,31.1,21.2
4,120.9,28.7,23.6,15.7,9.4,32.8,20.6
4,115.2,27.7,18.5,14.2,9.2,31.2,18.6
4,116.7,27.7,21.8,14.7,9.1,31,20.1
4,118.7,27.8,22.6,14.7,9.9,32.1,21.2
4,123.1,29.5,23.8,15.8,10.9,32,21.2
4,117.6,27.7,22.7,15.5,10.3,32.2,21.3
4,120.9,28.7,23.5,16.4,10.2,33.3,22.5
4,117.2,26.3,22.8,13.5,9.3,30.5,20.3
4,119.6,28.9,21.4,13.9,9.7,30.9,21.1
4,121.7,28.1,22.5,15.7,10.1,32.1,20.6
4,116.5,27.6,23.2,14.1,8.7,31,20
4,115,29.6,21.6,15,9.5,32.3,21.6
4,118,26.5,21.4,13.7,8.7,30.6,20.1
4,116.6,27.4,23.3,14.3,9.2,32.2,20.7
4,123.4,27,20.8,14.3,8.7,30.2,18.6
4,115.5,27.9,22.4,14,9.2,31.6,18.9
4,123.8,29.6,23.1,15.4,9.9,32.2,21.8
4,123.1,28.4,23.1,14.5,9.8,31.7,21.5
4,117.6,27.2,22,14,8.7,29.3,20.1
10,120.6,27.4,22.6,15.5,9.3,32.1,20
13,114.9,25.7,20.6,14.1,9.2,29.9,19.1
13,112.8,27,20,14.7,9.1,31.5,18.9
13,120.8,27.2,21.2,14.1,8.7,31,21.2
13,124,27.4,21.5,15.5,9.6,32.6,20.8
13,123.8,28.5,22.6,15.5,9.6,33.8,21.5
13,117.7,27.4,20.8,14.3,9,29.8,19.7
13,116.7,27.6,22.3,13.8,9.4,31.1,19.8
16,120.2,29,23,16.3,9.3,32.8,20.9
16,119.1,27.8,23.3,13.8,8.6,31.8,19.5
16,121.3,29.3,24.2,15.2,10.4,31.9,21.4
16,118.7,28.5,22.4,16.3,9.6,31.8,20.1
36,118.9,27.5,22.6,15.2,9.9,31.4,20.7
36,118.5,27.4,23,14.9,10.4,31.2,20.6
60,125.7,28.7,23.8,16.7,10.3,32.8,21.8
60,112.4,24.5,20.3,13.6,8.4,29.7,17.5
60,115.3,28.2,21.1,14,9.2,31.5,18.5
60,115.4,26.7,22.3,15.1,9.4,31.2,19.5
60,123.7,29.3,22.4,15.8,9.8,34,22.7
60,119.4,26.5,21.9,14.3,10.2,31.4,26.9
61,119.1,27.3,21.5,15.3,8.8,32,20.9
61,118.3,27.8,22.8,16.1,10.1,33.8,21.3
61,117.2,27.8,22.8,15.3,9.8,31.5,20.6
61,120.9,28.8,22.6,15.5,10.4,31.2,18.8
61,116.1,26.5,21.1,16,10.2,32.4,20.2
61,111.9,28.9,22.8,15.3,10.3,30.6,21.4
61,120,27.8,20.5,14.7,9.8,31.4,20.4
61,123.7,28.3,20.8,15.5,10.5,32.9,21.3
61,129.8,28.5,23.3,16.9,9.9,33.2,20.7
61,118.6,27.6,22,14.1,9.8,31.4,20.7
61,121,27.2,22.9,16.1,10.1,32.1,20.9
61,122.5,27.7,22.5,16,9.8,32.3,19.6
61,123.4,29.4,23.8,15.9,10.7,32.5,21
61,119.8,29.3,24.5,16,9.9,34.2,23.2
61,114.9,27.3,21.6,14.8,9.3,30.5,19.2
61,120.2,27.4,23.3,14.6,9.6,33.8,21.3
61,120.6,28.7,22.9,16.1,9.4,32.7,20.7
61,123.9,27.6,22.3,16.1,10.8,33.2,20
61,120.3,28.4,22.5,16.1,10.5,30.3,20.4
61,119.5,28.7,23.4,16.7,10.7,32.4,21
61,120.2,28.1,22,15.3,10.2,31,21.4
61,122.1,27.1,22.4,15.1,10.2,33.7,21.7
61,118.8,29.9,23.4,15.4,10.3,32,22.7
61,111.2,26,23.1,16.6,10,31.6,19.9
61,114.1,26.8,23.4,14.7,9.6,30.1,20.3
61,118.3,26.9,22.1,13.2,9.3,29.8,21.1
67,120.2,28,22.6,14.8,9.5,31.7,20.2
67,116.7,27.1,22.7,15.2,9.3,31.5,19.7
67,126,29.7,24.2,14.3,9.7,32.8,23.1
67,115.6,27.8,20.7,14.2,8.4,30.9,20.2
67,117.3,26.2,22,14,9.2,31.5,20.3
67,115.9,25.6,20.4,14.9,10,29.6,19.6
67,115.1,26.9,22.1,14,9.6,29.7,20.3
67,119.5,27.7,21.8,15.2,9.4,31.9,21.5
67,123.2,28.9,22.1,16.6,10.5,32.1,20.4
67,125.6,29.8,23.9,15.6,9.8,34.7,24
67,115.8,27.1,22.9,14.6,9.8,31.2,20.1
67,118,28.3,22.3,15,9,30.8,19.3
67,116.4,27.9,22,15.6,9.7,30.9,20
67,116.5,26.8,21.5,15.3,10.1,31.7,20.7
67,113.5,26.3,21.4,15.4,9.9,30.3,20.2
67,114.4,27.1,21.6,15.4,9.2,29.3,21.8
67,116.9,28.1,23.4,14.8,9.5,32.4,20.4
67,119.2,27,24,14.4,9.6,32.9,23
77,121.2,29.2,23,15.3,9.3,31.3,19.6
77,121.9,27.6,24.4,14.4,9.4,32,18.9
77,125.3,27.8,21,15.1,9.4,32.7,18.3
77,120,26.2,20.9,15.2,9.8,30.8,17.3
77,129.2,23.2,27.1,15,10.6,32.1,20
77,119.8,25.4,21.1,13.9,8.5,30.9,18.8
77,123.9,27.3,23.4,15.1,10,32.5,20.9
77,116.1,27.5,20.2,15.3,9.3,32.5,18
77,124,27.8,23.4,15.6,10.6,33.5,20.5
77,115.9,27.7,22.6,14.9,9.9,30.6,19.2
77,117.9,26.1,20.9,13.8,9.2,32.4,19.2
77,123.1,28.7,24.6,14.6,9.8,31.4,21.7
77,115.4,26.6,22.7,14.1,8.8,31.4,20
77,109.8,27.9,22.2,15,9.1,30.2,18.5
77,120,27.9,22,14.8,8.9,30.5,19.2
77,122.2,28.9,23.6,14.8,9.5,31.3,21.4
77,117.7,26.3,21.1,13.5,8.8,30.9,18.1
77,111.6,26.2,22.2,13.9,9.1,29.2,20.4
77,115.5,27.2,22,15.4,9.7,31,19.6
77,123.6,28.3,24.4,16.3,11,32.8,21.5
77,121.8,28.4,21.3,14.8,9.9,32.6,19.1
77,122.7,27.9,22,14.6,9.7,32.4,19.6
98,118.2,29.2,23.2,15.2,9.5,33.9,20.7
98,119.2,27.9,23,13.9,9.8,31.1,20.6
98,122.4,29.2,23.5,15.3,8.9,32.8,21.6
98,122,29.9,23.6,15.4,10,33.9,21.4
,,,,19,11,32.5,18.5
,121.2,28.7,20.9,14.7,9.6,31.7,20.3
,120.9,28.6,22,14.8,9.9,31.2,20.5
,112.4,26.1,21,13.6,9.2,28.3,20.4
,110.7,26.1,20.3,13.7,8.8,27.9,20
,113.6,26.4,20.7,13.1,9.3,28.3,19.2
,113.2,26.4,20.3,12.7,8.9,28.4,19
,113,27.5,22.2,13.5,9.3,28.6,17.7
,115,27.5,21,13.8,9.4,29.8,19.2
?,113.8,27.3,20.2,13.5,8.5,28,19
?,111.2,27.4,20.4,13.7,8.5,27.7,19.5
?,110,26.9,20.3,13.9,8.8,28.4,19.2
?,109.6,27,20,13.4,8.9,28.3,19.6
?,111.7,27.2,21,13.7,8.9,30,19.6
?,111.7,27,20.9,13.5,8.9,29.8,19.7
?,117,27.6,20.6,14.4,9.4,30,19.8
?,117.1,27.3,21.2,14.2,9.5,30.1,19.5
?,110.3,26,20.4,12.8,8.3,27.5,19.3
?,109.6,25.8,20.8,12.8,8.3,27.3,19.4
?,113.8,26.9,19.6,13.1,8.6,27.2,18.4
?,113.7,26.8,19.7,13.2,8.3,27.4,18.4
AGE???,115.1,28.7,22.1,15.1,9.5,30.7,20.1
AGE???,114.1,27.7,21.2,14,9.2,29.9,19.6
