AGE,LENGTH,WIDTH,DEPTH
9,45.8,2.5,2.5
9,45.2,2.1,2.5
11,46.4,2.6,3
11,47.1,2.5,3
14,46.5,2.4,2.6
14,48,2.9,2.4
14,47,2.5,2.8
14,41.8,2.7,2.5
14,46.6,2.3,2.8
14,47.4,2.2,3
14,45.3,2.8,3
14,47.5,2.6,2.8
14,45.5,2.3,2.5
14,46.7,2.5,3.6
14,48.1,2.3,2.9
16,46.8,3,2.8
16,47.1,3,2.5
16,49.3,2.5,2.7
18,47.8,2.4,3.1
18,47.5,2.4,2.8
29,43.2,3,2.8
0,45.5,2.8,3.3
0,46.5,3,2.5
0,43,2.2,3.5
0,43.5,2.5,2.5
0,44,2.3,2.4
