PIT #,LENGTH,DST W,DST D,MED W,MED D,PRX W,PRX D
67,232,47,32,19,19,63,28
67,221,47,32,20,19,60,27
67,237,49,34,21,20,63,29
67,235,52,36,21,21,64,29
67,221,46,32,19,18,57,27
77,250,54,36,22,21,65,31
77,226,45,32,20,20,59,28
77,237,50,36,20,21,62,29
77,226,46,33,20,19,60,27
77,238,47,36,20,20,63,29
77,243,50,35,20,20,63,30
77,244,50,36,22,22,64,31
77,225,48,34,21,20,60,29
77,247,46,35,20,22,63,30
77,235,51,37,21,21,64,30
77,235,46,33,21,20,61,29
77,227,44,30,18,19,56,26
77,248,49,36,20,21,64,30
77,234,50,37,21,20,64,30
77,227,43,32,19,19,57,28
77,251,54,38,21,21,65,31
77,250,54,37,22,21,66,32
77,240,49,35,20,20,63,31
77,239,48,32,19,19,58,28
77,230,46,34,20,19,62,27
77,233,47,35,21,21,62,30
77,232,48,33,19,19,62,29
77,230,46,33,20,19,62,28
77,229,46,33,19,18,61,28
77,229,46,33,19,20,63,29
77,237,49,34,21,21,63,30
77,223,44,31,20,19,59,28
