A - total length,B - proximal width,C - depth of cotyla medialis,D - minimum width of shaft,E - minimum depth of shaft,F - distal width,G - distance between dorsal surface of trochlea metatarsi III and plantar side of trochlea metatarsi II,H - depth of lateral side of trochlea metatarsi III,I - Proximal side of base of spur core to the lateral end of Trochlea metatarsi III,J - length of spur core,Place of collection,Date of collection,My comments,Collection,Remarks 1,,,
143.7,21.96,13.77,8.64,5.59,22.2,12.87,10.83,66.76,14.48,Rancho La Brea,L,adult,,,spur spongy,,
133.66,18.64,,8.19,5.27,21.66,11.49,10.21,60.97,14.25,Rancho La Brea,L,adult,,,top of spur broken off,,
146.08,21.3,14.1,8.76,6.14,22.3,12.4,10.96,68.64,18.64,Rancho La Brea,L,adult,,,spur fully developed,,
143.92,,,8.09,4.99,21.73,11,,64.84,,Rancho La Brea,L,adult,,,spur broken off,,
140.66,21.66,13.44,8.25,5.12,22.21,11.49,10.74,63.05,13.22,Rancho La Brea,L,adult,,,spur spongy,,
139.78,,13.52,9.23,6.05,,,,63.64,,Rancho La Brea,L,adult,,,spur broken off,,
136.26,20.61,13.49,8.68,5.35,22.06,11.93,10.43,63.22,17.26,Rancho La Brea,L,adult,,,spur fully developed,,
138.01,22.06,14.46,8.96,5.89,22.77,12.88,11.61,64.59,15.62,Rancho La Brea,L,adult,,,spur probably fully developed but a little rough surface,,
135.58,20.75,13.34,8.69,5.65,22.97,12.67,11.08,65.68,19.42,Rancho La Brea,L,adult,,,spur fully developed,,
144.08,22.81,14.04,8.61,5.64,,,10.62,66.2,19.03,Rancho La Brea,L,adult,,,spur fully developed,,
140.5,21.54,13.66,9.22,6.09,22.21,13.4,11.45,63.36,15.58,Rancho La Brea,L,adult,,,spur fully developed, short,
143.59,22.82,13.72,8.71,5.68,22.56,12.36,10.96,64.97,21.23,Rancho La Brea,L,adult,,,spur fully developed,,
141.71,21.59,13.75,8.96,5.75,22.91,13.04,11.07,63.08,16.85,Rancho La Brea,L,adult,,,spur fully developed,,
139.42,22.02,12.91,8.78,5.66,22.27,12.43,10.68,,,Rancho La Brea,L,adult,,,spur probably used to be but it is broken off?,,
140.7,21.98,13.77,8.57,5.47,21.75,13.03,11.25,68.23,19.18,Rancho La Brea,L,adult,,,spur fully developed,,
130.39,19.9,13.13,8.11,5.35,21.13,11.95,10.07,59.57,16.17,Rancho La Brea,L,adult,,,spur probably fully developed but a little rough surface,,
145.58,21.91,14.46,8.57,5.87,22.34,12.9,11.26,68.44,15.58,Rancho La Brea,L,adult,,,spur probably fully developed but a little rough surface,,
141.85,22.63,14.14,9.09,5.81,22.55,12.51,10.58,67.64,16.78,Rancho La Brea,L,adult,,,spur probably fully developed but a little rough surface,,
139.66,21.95,13.76,9.15,5.85,22.11,12.1,10.6,66.93,22.18,Rancho La Brea,L,adult,,,spur fully developed,,
143.14,23.21,15.25,9.48,6.3,22.84,12.57,10.9,66.85,22.04,Rancho La Brea,L,adult,,,spur fully developed,,
140.09,21.42,13.8,8.36,5.66,22.56,12.62,11,66.94,14.73,Rancho La Brea,L,adult,,,spur spongy,,
141.32,22.24,13.69,8.9,5.65,22.94,12.3,10.65,70.38,13.63,Rancho La Brea,L,adult,,,spur probably fully developed but a little rough surface,,
147.15,23.04,15.04,9.3,6.15,23.16,13.36,11.02,67.22,20.24,Rancho La Brea,L,adult,,,spur fully developed,,
140.51,24.23,14.01,8.71,5.97,23.08,13.23,10.61,64.76,15.34,Rancho La Brea,L,adult,,,spur probably fully developed but a little rough surface,,
143.14,21.98,14.24,8.68,5.8,22.66,12.31,11.04,66.35,18.84,Rancho La Brea,L,adult,,,spur fully developed,,
130.62,22.49,13.4,8.17,5.84,21.44,12.52,10.61,65.24,19.99,Rancho La Brea,L,adult,,,spur fully developed,,
139.17,22.45,13.78,9.34,5.96,22.85,13.25,11.34,63.78,15.07,Rancho La Brea,L,adult,,,spur probably fully developed but a little rough surface,,
132.78,21.26,13.66,8.59,5.6,22.38,12.51,10.93,63.56,14.75,Rancho La Brea,L,adult,,,top of spur broken off,,
142.46,22.62,15.29,9.11,6.04,23.68,13.03,11.4,68.85,12.07,Rancho La Brea,L,adult,,,top of spur broken off,,
134.22,22.34,13.52,8.95,5.96,22.08,11.64,10.39,62.93,16.7,Rancho La Brea,L,adult,,,spur probably fully developed but a little rough surface,,
147.01,22.19,14.15,8.78,5.62,22.47,13.22,10.77,68.89,18.24,Rancho La Brea,L,adult,,,spur fully developed,,
134.22,20.93,13.54,8.3,5.67,21.42,11.74,10.46,66.16,20.55,Rancho La Brea,L,adult,,,spur fully developed,,
138.11,22.93,13.85,8.71,5.93,22.2,12.54,10.67,65.99,11.46,Rancho La Brea,L,adult,,,spur spongy,,
140.39,21.91,14.62,8.58,5.66,22.62,12.78,10.92,65.38,13.24,Rancho La Brea,L,adult,,,spur spongy,,
130.79,20.85,13.41,8.16,5.47,21.45,11.57,10.57,62.44,17.97,Rancho La Brea,L,adult,,,spur probably fully developed but a little rough surface,,
144.37,23.28,14.1,8.79,6.02,23.75,13.03,10.81,69.68,18.93,Rancho La Brea,L,adult,,,spur fully developed,,
143.38,23.51,14.43,8.89,5.83,23.47,12.93,11.41,70.34,22.26,Rancho La Brea,L,adult,,,spur fully developed,,
138.39,21.15,14.1,8.79,5.68,22.56,12.22,10.66,64.06,16.08,Rancho La Brea,L,adult,,,spur probably fully developed but a little rough surface,,
143.18,22.38,14.15,9.24,5.74,22.25,12.47,10.47,60.97,17.29,Rancho La Brea,L,adult,,,spur fully developed,,
132.94,20.84,13.58,8.45,5.62,22.17,12.6,10.1,62.96,18.57,Rancho La Brea,L,adult,,,spur fully developed,,
139.37,21.46,13.69,8.53,5.69,22.42,12.01,10.82,63.01,15.88,Rancho La Brea,L,adult,,,spur probably fully developed but a little rough surface,,
143.06,23.9,14.43,8.73,5.66,24.13,12.93,10.98,66.2,24.24,Rancho La Brea,L,adult,,,spur fully developed, very long,
139.87,21.29,14.21,8.17,5.09,22.48,11.96,10.27,65.02,16.52,Rancho La Brea,L,adult,,,spur probably fully developed but a little rough surface,,
145.54,22.62,14.34,9.05,5.99,22.66,13.11,11.12,63.72,13.46,Rancho La Brea,L,adult,,,spur spongy,,
140.83,22.44,14.23,9.26,5.82,23.03,12.89,11.13,63.8,18,Rancho La Brea,L,adult,,,spur fully developed,,
138.19,21.61,13.31,7.93,5.42,21.07,12.35,10.5,63.03,,Rancho La Brea,L,imm?,,,spur=little bump,,
149.33,21.54,14.21,8.75,5.44,22.53,11.7,10.77,66.78,,Rancho La Brea,L,adult,,,spur=little bump,,
146.58,,,9.1,5.45,21.15,12.31,,65.09,,Rancho La Brea,L,adult,,,spur broken off,,
145.28,22.21,14.09,8.53,5.41,22.36,12.36,10.72,65.97,,Rancho La Brea,L,adult,,,spur=little bump,,
149.32,23.16,14.88,8.92,5.93,24.63,12.91,11.23,71.85,22.39,Rancho La Brea,L,adult,,,spur fully developed, very long,
134.59,,,8.12,5.17,21.52,11.51,10.16,64.99,14.33,Rancho La Brea,L,adult,,,spur probably fully developed but a little rough surface,,
137.26,22.46,14.02,8.98,5.94,22.52,12.08,10.25,65.21,17.08,Rancho La Brea,L,adult,,,spur probably fully developed but a little rough surface,,
136.66,21.45,13.5,8,5.38,22.98,12.58,10.35,,,Rancho La Brea,L,imm?,,Measurements OK,no spur,,
109.37,17.26,10.87,6.96,4.44,18.44,10.3,8.89,,,Rancho La Brea,L,adult,,,,,
115.88,19.59,12.44,6.88,4.81,19.08,10.17,9.89,,,Rancho La Brea,L,adult,,,,,
119.89,18.44,10.76,7.02,4.7,18.4,10.31,9.25,,,Rancho La Brea,L,adult,,,,,
146.96,22.8,14.81,8.66,5.72,22.59,12.47,11.06,,,Rancho La Brea,L,imm?,,Measurements OK,No spur ,Male by size?,
146.59,21.14,13.66,7.84,5.55,22.89,13.01,11.41,,,Rancho La Brea,L,imm?,,Measurements OK,No spur ,Male by size?,
140.74,20.34,13.49,7.85,5.33,21.17,12.24,10.72,,,Rancho La Brea,L,adult,,,No spur, probably broken off?,
146.04,22.21,13.46,8.25,5.64,23.27,12.68,11.26,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,Male by size?,
143.03,21.84,13.98,8.1,5.09,22.52,11.88,10.98,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,Male by size?,
144.06,20.79,13.78,8.48,5.77,22.64,12.14,10.98,,,Rancho La Brea,L,adult,,,No spur, broken off?,Male by size?
136.1,21.78,13.18,7.47,5.27,22.27,12.28,10.93,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,Male by size?,
135.74,,12.6,7.68,4.89,21.3,11.34,10.24,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,Male by size?,
135.46,21.64,13.37,7.66,5.11,21.83,12.06,10.66,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,Male by size?,
132.94,21.24,13.37,7.73,5.47,,,10.54,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,Male by size?,
143.44,,12.63,,5.07,21.64,11.25,9.69,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,Male by size?,
147.67,20.66,13.38,7.8,5.35,22.73,12.34,10.74,,,Rancho La Brea,L,imm?,,Measurements probably OK,No spur,Male by size?,
137.23,20.81,,7.8,5.46,22.15,,10.21,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,Male by size?,
132.84,21.35,12.9,7.94,5.4,22.54,12.04,10.36,,,Rancho La Brea,L,adult,,,No spur,,
139.07,,,8.43,5.49,23.23,13.03,11.31,,,Rancho La Brea,L,adult,,,No spur,,
141.56,21.7,13.53,8.19,5.06,22.24,11.91,10.99,,,Rancho La Brea,L,adult,,,,,
139.85,20.83,13.56,8.17,5.65,22.41,12.38,11.04,,,Rancho La Brea,L,adult,,,,,
143.82,22.05,14.16,8.27,5.45,23.4,12.6,10.74,,,Rancho La Brea,L,adult,,,,,
141.51,21.86,14.19,7.69,5.73,20.82,12.09,10.55,,,Rancho La Brea,L,adult,,,,,
138.04,20.78,13.83,7.98,5.16,22.43,12.52,11.15,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,Male by size?,
139.28,,12.82,8.01,5.45,21.75,11.56,10.51,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,Male by size?,
136.61,20.33,13.31,7.14,5.29,21.32,11.86,10.59,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,Male by size?,
134.97,19.94,13.57,7.95,5.53,21.94,11.43,10.47,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,Male by size?,
139.1,22.1,14.25,7.55,5.06,22.84,12.84,11.14,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,Male by size?,
138.05,21.77,13.43,8.29,5.81,22.04,12.11,10.88,,,Rancho La Brea,L,adult,,,Spur may be broken off because a part of shaft is missing,,
138.86,,12.3,8.07,5.27,21.72,11.03,10.49,,,Rancho La Brea,L,imm?,,Measurements probably OK,,,
138.46,21.54,13.73,8.54,5.58,22.28,12.87,11.06,,,Rancho La Brea,L,imm?,,Measurements probably OK,No spur,,
139.76,22.3,14.08,8.57,5.71,22.87,12.58,10.8,,,Rancho La Brea,L,adult,,,,,
118.75,19.26,12.49,7.53,5.26,19.44,10.77,9.62,,,Rancho La Brea,L,adult,,,,,
112.64,17.61,10.97,6.55,4.73,18.49,9.58,8.37,,,Rancho La Brea,L,adult,,,,,
116.33,18.59,11.99,6.93,5.02,18.49,10.59,9.34,,,Rancho La Brea,L,adult,,,,,
110.96,17.86,10.95,6.7,4.53,17.67,9.94,8.59,,,Rancho La Brea,L,adult,,,,,
118.17,19.3,11.59,7.26,4.91,19.6,10.89,9.64,,,Rancho La Brea,L,adult,,,,,
117.92,19.28,11.49,7.37,5.09,19.33,10.49,9.39,,,Rancho La Brea,L,adult,,,,,
119.25,19.1,11.83,6.96,4.93,18.65,10.47,8.94,,,Rancho La Brea,L,adult,,,,,
119.22,,11.7,7.04,5.16,20.07,10.21,9.14,,,Rancho La Brea,L,adult,,,,,
112.64,19.81,11.65,7.35,5.19,19.33,10.9,9.71,,,Rancho La Brea,L,adult,,,,,
116.51,,11.48,6.53,4.51,18.3,10.21,9.24,,,Rancho La Brea,L,adult,,,,,
113.3,17.74,10.81,6.52,4.82,18.44,10.77,9.15,,,Rancho La Brea,L,adult,,,,,
111.65,18.21,11.08,6.61,4.6,17.73,10.45,9.12,,,Rancho La Brea,L,adult,,,,,
121.35,19.22,,7.39,4.94,19.85,9.98,9.95,,,Rancho La Brea,L,adult,,,,,
118.49,18.09,11.07,7.03,4.37,17.2,10.04,,,,Rancho La Brea,L,adult,,,,,
114.87,18.53,11.73,7.48,4.74,19.18,10.44,9.32,,,Rancho La Brea,L,adult,,,,,
112.82,18.08,11.85,6.8,4.79,18.44,10.77,9.54,,,Rancho La Brea,L,adult,,,,,
118.28,18.47,11.48,7.13,5.02,19.42,10.52,8.83,,,Rancho La Brea,L,adult,,,,,
111.24,,10.78,6.76,4.42,18.48,9.92,8.64,,,Rancho La Brea,L,adult,,,,,
115.73,19.4,12.33,7.52,4.9,19.4,10.96,9.77,,,Rancho La Brea,L,adult,,,,,
109.94,17.92,11.31,6.92,4.65,18.25,9.77,8.86,,,Rancho La Brea,L,adult,,,,,
122.4,18.71,11.4,7.18,5.29,19.36,10.35,9.5,,,Rancho La Brea,L,adult,,,,,
115.78,18.34,11.69,7.31,5.04,18.2,10.76,9.34,,,Rancho La Brea,L,adult,,,,,
120.63,17.27,10.79,7.32,4.72,18.12,10.06,8.98,,,Rancho La Brea,L,adult,,,,,
120.74,18.71,11.94,7.7,5.35,,,9.46,,,Rancho La Brea,L,adult,,,,,
111.62,17.49,11.36,6.5,4.54,17.87,9.91,8.55,,,Rancho La Brea,L,adult,,,,,
116.94,18.69,12.02,7.23,5.02,19.5,10.1,9.37,,,Rancho La Brea,L,adult,,,,,
119.21,18.46,11.49,7.1,4.97,18.51,10.14,9.22,,,Rancho La Brea,L,adult,,,,,
110.59,18.63,11.75,7.21,4.86,17.95,9.69,8.83,,,Rancho La Brea,L,adult,,,,,
113.63,,11.15,6.72,4.21,17.63,10.13,8.94,,,Rancho La Brea,L,adult,,,,,
117.75,18.04,11.42,7.18,4.9,18.12,10.14,9.17,,,Rancho La Brea,L,adult,,,,,
114.86,17.64,11.13,7.15,4.86,18.88,10.77,9.45,,,Rancho La Brea,L,adult,,,,,
110.19,,10.58,6.62,4.63,17.56,9.52,8.66,,,Rancho La Brea,L,adult,,,,,
114.55,,10.99,6.41,4.54,18.91,9.87,9,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,,
111.61,18.32,11.11,6.88,5.05,18.3,9.82,9.27,,,Rancho La Brea,L,adult,,,,,
116.46,18.19,11.67,6.9,4.73,18.57,10.56,9.07,,,Rancho La Brea,L,adult,,,,,
118.58,19.01,12.09,7.08,4.93,19.12,10.82,9.27,,,Rancho La Brea,L,adult,,,,,
114.66,17.74,10.36,6.98,4.8,18.31,10.21,8.94,,,Rancho La Brea,L,adult,,,,,
111.8,18.8,11.14,6.23,4.67,18.23,9.95,8.77,,,Rancho La Brea,L,adult,,,,,
120.34,18.36,11.84,6.68,4.54,19.25,9.67,9.53,,,Rancho La Brea,L,adult,,,,,
115,18.19,11.06,7.13,4.86,,,9.1,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,,
117.31,19.49,11.83,7.35,4.7,19.68,10.06,9.48,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,,
115.64,18.34,11.2,7.26,4.66,19.44,10.21,9.03,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,,
112.43,17.08,10.61,6.24,4.37,18.04,9.56,8.57,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,,
114.01,18.03,10.74,6.87,4.76,18.52,10.38,,,,Rancho La Brea,L,imm?,,Measurements OK,,,
112.91,17.87,11.41,6.7,4.52,18.4,9.92,8.73,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,,
118.86,17.89,11.21,,4.42,17.81,9.64,8.79,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,,
114.27,17.77,10.91,6.85,4.41,,,9.12,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,,
116.41,,10.83,6.66,4.7,19.24,10.15,9.25,,,Rancho La Brea,L,adult,,,,,
113.65,17.25,10.58,6.46,4.36,18.11,9.37,8.82,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,,
120.94,18.42,,7.17,4.67,19.77,,9.06,,,Rancho La Brea,L,adult,,,,,
114.83,18.02,11.03,6.5,4.36,19.1,10.06,9.08,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,,
116.27,17.54,11.12,6.63,4.63,18.15,10.78,9.21,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,,
119.35,18.75,,6.93,4.68,18.84,10.24,9.12,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,,
118.07,17.8,11.17,6.93,4.47,19.67,10.68,9.44,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,,
113.97,17.58,11.52,6.98,4.66,18.33,10.11,9.13,,,Rancho La Brea,L,adult,,,,,
120.91,18.7,11.59,7.36,4.74,18.73,10.3,9.43,,,Rancho La Brea,L,adult,,,,,
112.3,17.98,11.36,6.8,4.47,19.04,10.2,9.26,,,Rancho La Brea,L,adult,,,,,
120.29,19.44,11.87,7.17,4.89,19.26,10.97,9.96,,,Rancho La Brea,L,adult,,,,,
114.89,,10.9,6.45,4.16,18.14,10.14,8.82,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,,
115.03,18.35,11.89,6.64,4.68,18.08,10.86,9.27,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,,
114.46,18.28,11.79,6.51,4.71,17.46,10.35,8.66,,,Rancho La Brea,L,adult,,,,,
107.45,17.52,10.92,6.32,4.57,17.3,9.46,8.93,,,Rancho La Brea,L,adult,,,,,
112.87,18.31,11.37,6.5,4.44,18.93,10.49,9.22,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,,
117.59,,10.87,,4.34,18.03,10.59,9.2,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,,
111.94,,10.7,6.46,4.58,18.59,10.88,9.08,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,,
111.85,,10.52,6.9,4.57,18.93,10.23,9,,,Rancho La Brea,L,adult,,,,,
120.82,18.64,12.16,6.89,4.71,18.74,10.26,9.88,,,Rancho La Brea,L,adult,,,,,
113.11,,,6.82,4.75,18.99,10.67,9.44,,,Rancho La Brea,L,adult,,,,,
124.33,19.63,12.54,7.73,5.3,20.03,11.84,9.93,,,Rancho La Brea,L,adult,,,,,
116.48,17.73,11.68,7.35,4.86,18.74,10.35,8.97,,,Rancho La Brea,L,adult,,,,,
122.48,18.24,11.71,6.98,4.7,18.19,10.53,9.04,,,Rancho La Brea,L,adult,,,,,
114.06,17.6,11.41,7.2,4.75,,,9.33,,,Rancho La Brea,L,adult,,,,,
117.67,19.06,11.59,7.02,5.05,18.82,10,9.75,,,Rancho La Brea,L,adult,,,,,
119.41,17.82,11.55,7.04,4.77,18.92,10.46,9.41,,,Rancho La Brea,L,adult,,,,,
117.94,18.43,10.91,6.88,4.53,18.7,10.16,9.09,,,Rancho La Brea,L,adult,,,,,
115.2,18.51,12.02,6.92,5.15,,,9.77,,,Rancho La Brea,L,adult,,,,,
119.07,18.47,11.52,6.97,4.87,,,8.31,,,Rancho La Brea,L,adult,,,,,
108.1,17.1,10.47,6.26,4.47,17.13,9.33,8.2,,,Rancho La Brea,L,imm?,,Measurements OK,,,
,19.66,11.57,7.09,4.86,,,,,,Rancho La Brea,L,adult,,,,,
125.8,,11.12,7.93,5.22,,,9.44,,,Rancho La Brea,L,adult,,,,,
,17.95,11.29,6.73,4.64,,,,,,Rancho La Brea,L,imm?,,Measurements OK,,,
,18.89,11.47,7.19,4.84,,,,,,Rancho La Brea,L,adult,,,,,
116.01,18.24,11.88,7.07,4.78,,,9,,,Rancho La Brea,L,adult,,,,,
116.8,19.3,12.03,7.42,5.06,19.95,10.82,9.67,,,Rancho La Brea,L,adult,,,,,
115.49,18.15,12.24,6.63,4.71,18.54,10.6,9.17,,,Rancho La Brea,L,adult,,,,,
118.68,17.91,11.35,7.64,4.78,18.51,9.75,,,,Rancho La Brea,L,adult,,,,,
,18.91,11.52,,,,,,,,Rancho La Brea,R,adult,,,,,
,18.15,11.63,,,,,,,,Rancho La Brea,R,adult,,,,,
,17.53,10.79,,,,,,,,Rancho La Brea,R,adult,,,,,
,18.61,11.27,,,,,,,,Rancho La Brea,R,adult,,,,,
,22.45,14.38,,,,,,,,Rancho La Brea,R,imm (prox part spongy),,Measurements probably OK,,,
,21.65,13.94,,,,,,,,Rancho La Brea,R,adult,,,,,
,18.27,11.19,,,,,,,,Rancho La Brea,R,adult,,,,,
,18.87,12,,,,,,,,Rancho La Brea,R,adult,,,,,
,,10.54,,,,,,,,Rancho La Brea,R,adult,,,,,
,22.41,13.83,,,,,,,,Rancho La Brea,R,adult,,,,,
,17.95,10.85,,,,,,,,Rancho La Brea,R,adult,,,,,
,18.32,,,,,,,,,Rancho La Brea,R,adult,,,,,
,18.24,11.28,,,,,,,,Rancho La Brea,R,adult,,,,,
,20.63,12.72,,,,,,,,Rancho La Brea,R,adult,,,,,
,17.87,10.58,,,,,,,,Rancho La Brea,R,adult,,,,,
,18.78,11.24,,,,,,,,Rancho La Brea,R,adult,,,,,
,18.31,11.7,,,,,,,,Rancho La Brea,R,adult,,,,,
,18.11,11.63,6.92,,,,,,,Rancho La Brea,R,adult,,,,,
,22.27,13.51,,,,,,,,Rancho La Brea,R,adult,,,,,
,16.93,11.34,,,,,,,,Rancho La Brea,R,adult,,,,,
,18.94,11.95,,,,,,,,Rancho La Brea,R,adult,,,,,
,20.78,12.71,,,,,,,,Rancho La Brea,R,adult,,,,,
,18.92,12.37,,,,,,,,Rancho La Brea,R,adult,,,,,
,18.19,11.59,,,,,,,,Rancho La Brea,R,adult,,,,,
,18.38,11.31,,,,,,,,Rancho La Brea,R,adult,,,,,
,18.49,11.47,,,,,,,,Rancho La Brea,R,adult,,,,,
,22.16,13.75,,,,,,,,Rancho La Brea,R,adult,,,,,
,22.83,14.09,9.13,,,,,,18.28,Rancho La Brea,R,adult,,,spur fully developed,,
,22.02,13.8,,,,,,,,Rancho La Brea,R,adult,,,,,
,20.19,13.04,,,,,,,,Rancho La Brea,R,adult,,,,,
,20.99,13.55,,,,,,,19.01,Rancho La Brea,R,adult,,,spur fully developed,,
,17.84,11.32,7.19,,,,,,,Rancho La Brea,R,adult,,,,,
,,12.99,,,,,,,,Rancho La Brea,R,adult,,,,,
,20.42,12.77,,,,,,,,Rancho La Brea,R,adult,,,,,
,18.63,11.46,7.43,4.79,,,,,,Rancho La Brea,R,adult,,,,,
,17.87,11.38,7.23,,,,,,,Rancho La Brea,R,adult,,,,,
,18.48,11.34,7.25,,,,,,,Rancho La Brea,R,adult,,,,,
,,11.19,,,,,,,,Rancho La Brea,R,adult,,,,,
,22.39,13.96,8.35,,,,,,,Rancho La Brea,R,adult,,,,,
,18.04,11.86,7.04,,,,,,,Rancho La Brea,R,adult,,,,,
,20.09,12.95,,,,,,,,Rancho La Brea,R,adult,,,,,
,21.33,12.78,,,,,,,,Rancho La Brea,R,adult,,,,,
,,12.23,,,,,,,,Rancho La Brea,R,adult,,,,,
,22.56,13.78,,,,,,,,Rancho La Brea,R,adult,,,,,
,18.36,11.59,6.91,,,,,,,Rancho La Brea,R,adult,,,,,
,18.01,10.89,,,,,,,,Rancho La Brea,R,adult,,,,,
,20.24,12.79,,,,,,,,Rancho La Brea,R,adult,,,,,
,20.15,13.13,,,,,,,,Rancho La Brea,R,adult,,,,,
,17.61,11.33,6.96,,,,,,,Rancho La Brea,R,adult,,,,,
,17.38,,,,,,,,,Rancho La Brea,R,adult,,,,,
,22.21,14.1,,,,,,,,Rancho La Brea,R,imm (prox part spongy),,Measurements probably OK,,,
,19.07,12.11,,,,,,,,Rancho La Brea,R,imm (prox part spongy),,Measurements probably OK,,,
,17.81,10.91,,,,,,,,Rancho La Brea,R,adult,,,,,
,20.36,12.63,,,,,,,,Rancho La Brea,R,adult,,,,,
,18.81,12.04,,,,,,,,Rancho La Brea,R,adult,,,,,
,22.17,14.21,,,,,,,,imm (prox part spongy),,Measurements probably OK,,,,,
,21.38,13.55,,,,,,,,Rancho La Brea,R,adult,,,,,
,19.22,11.92,7.16,5.09,,,,,,Rancho La Brea,R,adult,,,,,
,18.89,11.77,7.51,4.93,,,,,,Rancho La Brea,R,adult,,,,,
,18.43,11.58,,,,,,,,Rancho La Brea,R,adult,,,,,
,18.49,11.79,6.57,,,,,,,Rancho La Brea,R,adult,,,,,
,21.04,12.4,,,,,,,,Rancho La Brea,R,adult,,,,,
,17.68,11.58,,,,,,,,Rancho La Brea,R,adult,,,,,
,21.36,13.19,,,,,,,,Rancho La Brea,R,adult,,,,,
,22.55,13.84,9.08,,,,,,16.42,Rancho La Brea,R,adult,,,spur spongy,,
,23.6,14.03,8.45,,,,,,18.46,Rancho La Brea,R,adult,,,spur fully developed,,
,20.21,11.92,,,,,,,15.65,Rancho La Brea,R,adult,,,spur fully developed,,
,21.59,13.95,,,,,,,13.33,Rancho La Brea,R,adult,,,spur probably fully developed but a little rough surface, top broken off,
,20.05,13.16,,,,,,,12.03,Rancho La Brea,R,adult,,,top of spur broken off,,
,22.75,13.49,,,,,,,14.78,Rancho La Brea,R,adult,,,spur probably fully developed but a little rough surface,,
,23.5,14.43,,,,,,,13.97,Rancho La Brea,R,adult,,,spur spongy,,
,21.27,13.51,8.93,,,,,,17.08,Rancho La Brea,R,adult,,,spur fully developed,,
,22.53,14.04,,,,,,,,Rancho La Brea,R,adult,,,,,
,22.02,13.14,,,,,,,,Rancho La Brea,R,adult,,,spur broken off,,
,22.69,14.47,,,,,,,,Rancho La Brea,R,adult,,,spur=little bump,,
,21.87,13.76,,,,,,,,Rancho La Brea,R,adult,,,spur=little bump,,
,22.24,14.19,9.17,,,,,,11.43,Rancho La Brea,R,adult,,,spur broken off,,
,20.46,12.77,8.2,,,,,,,Rancho La Brea,R,adult,,,spur=little bump,,
,20.64,13.17,7.89,,,,,,16.79,Rancho La Brea,R,adult,,,spur fully developed,,
,22.05,14.19,,,,,,,13.98,Rancho La Brea,R,adult,,,spur probably fully developed but a little rough surface,,
,21.1,12.85,8,,,,,,15.3,Rancho La Brea,R,adult,,,spur probably fully developed but a little rough surface,,
,,13.8,8.59,,,,,,17.3,Rancho La Brea,R,adult,,,spur probably fully developed but a little rough surface,,
,22.96,14.09,,,,,,,19.42,Rancho La Brea,R,adult,,,spur fully developed,,
,21.28,,,,,,,,21.79,Rancho La Brea,R,adult,,,spur fully developed,,
,20.82,12.71,,,,,,,17.75,Rancho La Brea,R,adult,,,spur fully developed,,
,21.84,13,,,,,,,13,Rancho La Brea,R,adult,,,top of spur broken off,,
,22.75,13.83,8.78,,,,,,17.03,Rancho La Brea,R,adult,,,spur fully developed, top broken off,
,22.49,14.19,7.69,,,,,,,Rancho La Brea,R,imm?,,Measurements OK,,,
,21.64,13.67,8.5,,,,,,13.95,Rancho La Brea,R,adult,,,spur fully developed, top broken off,
,22.67,13.85,8.69,,,,,,21.45,Rancho La Brea,R,adult,,,spur fully developed,,
