A - total length,B - proximal width,C - depth of cotyla medialis,D - minimum width of shaft,E - minimum depth of shaft,F - distal width,G - distance between dorsal surface of trochlea metatarsi III and plantar side of trochlea metatarsi II,H - depth of lateral side of trochlea metatarsi III,I - Proximal side of base of spur core to the lateral end of Trochlea metatarsi III,J - length of spur core,Place of collection,Date of collection,My comments,Collection,Remarks 1,,,
143.01,23.01,14.32,9.52,5.36,23.74,13.18,11.76,64.13,23.42,Rancho La Brea,R,adult,,,"spur fully developed, very long",,
127.29,20.58,,8.48,5.99,21.81,,,61.49,20.08,Rancho La Brea,R,adult,,,spur fully developed,,
140.29,22.77,13.44,8.61,5.56,21.98,12.41,10.96,65.12,17.13,Rancho La Brea,R,adult,,,spur probably fully developed but a little rough surface,,
146.83,21.82,13.67,9.12,5.69,22.6,,,65.66,21.46,Rancho La Brea,R,adult,,,spur fully developed,,
140.25,21.43,13.22,8.14,5.71,21.87,12.02,10.48,64.34,19.86,Rancho La Brea,R,adult,,,spur fully developed,,
124.71,21.29,13.22,7.8,5.12,21.15,11.58,10.34,60.25,,Rancho La Brea,R,adult,,,spur=little bump,,
141.84,21.66,13.6,8.65,5.66,22.46,12.1,10.95,62.08,16.53,Rancho La Brea,R,adult,,,spur probably fully developed but a little rough surface,,
139.92,,13.54,8.92,5.37,23.27,13.08,11.47,64.79,14.55,Rancho La Brea,R,adult,,,spur spongy,,
144.93,20.29,12.68,8.68,5.59,21.87,12.15,,62.04,,Rancho La Brea,R,adult,,,spur=little bump,,
142.99,21.3,12.36,8.75,5.61,23.2,12.8,10.8,65.52,17,Rancho La Brea,R,adult,,,spur fully developed,,
150.75,22.73,14.24,9.1,6.05,22.09,12.52,11.1,69.35,,Rancho La Brea,R,adult,,,spur broken off,,
147.61,23.51,14.66,8.7,5.85,24.16,12.67,11.71,65.51,15.03,Rancho La Brea,R,adult,,,spur probably fully developed but a little rough surface, top broken off,
,22.18,13.5,8.31,5.23,,,,,16.78,Rancho La Brea,R,adult,,,spur probably fully developed but a little rough surface,,
133.12,20.94,13.62,8.59,5.7,22.04,11.94,10.69,62.11,,Rancho La Brea,R,adult,,,spur=little bump,,
135.87,21.22,12.9,8.76,5.42,22,12.2,10.99,61.36,13.59,Rancho La Brea,R,adult,,,spur spongy,,
146.93,22.99,14.22,7.89,5.63,23.23,12.72,11.28,,,Rancho La Brea,R,imm?,,Measurements OK,No spur,Male by size?,
141.4,22.62,14.31,8.16,5.48,23.94,12.43,11.43,,,Rancho La Brea,R,imm?,,Measurements OK,No spur,Male by size?,
141.09,21.78,13.04,8.36,5.39,,,10.82,,,Rancho La Brea,R,imm?,,Measurements OK,No spur,Male by size?,
145.05,22.39,14.63,8.38,5.51,22.95,12.25,11.37,,,Rancho La Brea,R,imm?,,Measurements OK,No spur,Male by size?,
139.69,22.69,14.31,8.34,5.45,23.18,12.75,10.76,,,Rancho La Brea,R,imm?,,Measurements OK,No spur,Male by size?,
136.5,20.82,,7.31,5.32,21.33,11.98,,,,Rancho La Brea,R,imm (prox part spongy),,Measurements probably OK,No spur,Male by size?,
145.73,22.25,13.69,8.32,5.63,23.08,12.84,11.1,,,Rancho La Brea,R,imm (prox part spongy),,Measurements probably OK,No spur,Male by size?,
148.84,22.65,14.46,9.07,5.73,21.4,11.98,11.25,,,Rancho La Brea,R,imm?,,Measurements OK,No spur,Male by size?,
141.28,21.93,14.43,8.04,5.47,22.29,12.4,10.72,,,Rancho La Brea,R,imm?,,Measurements OK,No spur,Male by size?,
141.8,22.85,14.43,8.33,5.66,21.91,12.89,10.81,,,Rancho La Brea,R,imm?,,Measurements OK,No spur,Male by size?,
