Pit #,Prox W,Prox APL,Midshaft W,Midshaft APL,Distal W,Distal APL,Max Length
61,89,46,35,32,78,75,340
61,91,49,35,33,81,77,378
61,96,52,38,32,83,74,358
61,93,46,34,30,81,69,355
61,89,45,34,29,79,72,357
61,93,46,34,30,81,69,351
61,97,51,35,33,82,68,367
61,82,42,30,27,73,65,327
61,98,49,36,33,81,70,364
61,100,58,37,35,84,74,392
61,97,51,40,36,84,75,370
61,96,48,37,33,79,70,368
61,93,51,36,33,77,68,359
61,89,46,35,30,78,65,365
61,96,53,36,32,82,75,367
61,98,47,39,35,84,73,377
61,88,43,34,30,75,67,330
61,93,49,38,34,78,67,358
61,92,48,34,32,82,75,367
61,85,48,35,30,76,74,352
61,96,49,37,30,78,72,365
61,98,52,36,33,85,75,377
61,92,51,38,34,79,73,371
61,94,52,39,35,85,76,376
61,88,46,33,30,73,74,358
61,86,50,35,30,73,69,346
61,94,49,37,33,76,76,363
61,89,47,35,31,78,72,359
61,86,46,34,32,77,70,344
61,93,45,34,34,77,75,375
61,91,47,36,31,74,72,341
61,94,48,37,32,81,78,359
61,96,45,40,35,82,75,362
61,99,51,39,35,81,76,400
61,91,49,35,34,77,72,348
61,90,52,35,31,76,71,343
61,86,47,33,31,73,67,361
61,93,51,36,33,84,72,383
61,91,53,39,34,76,74,355
61,92,50,37,32,78,74,355
61,93,47,34,30,76,70,335
61,91,45,36,32,75,68,342
61,96,49,34,33,79,75,367
61,95,50,36,32,81,78,371
61,92,49,34,31,78,71,359
61,94,50,38,33,78,72,371
61,93,54,37,34,82,71,363
61,86,40,32,27,75,71,338
77,89,44,37,33,84,71,364
77,94,45,34,30,76,70,356
77,103,50,37,33,81,71,376
77,80,45,33,29,71,68,321
77,91,47,39,33,74,69,337
77,85,47,33,28,70,67,340
77,93,50,36,31,80,70,338
77,91,49,34,33,76,71,343
77,93,43,34,31,73,70,342
77,96,51,36,32,80,74,363
77,84,42,33,26,64,65,330
77,86,43,32,27,75,68,334
77,91,48,40,33,77,70,364
77,98,51,37,33,80,68,372
77,101,50,38,34,84,80,363
77,94,48,36,32,77,74,342
