AGE,LENGTH,WIDTH,DEPTH,AREA,ROBUSTNESS
18,56.4,6.5,4.9,31.85,0.564716312
18,58.3,7.9,6,47.4,0.813036021
18,52.7,7.9,5.6,44.24,0.839468691
18,50.1,6.9,5,34.5,0.688622754
18,57.9,8,5.8,46.4,0.801381693
18,54.3,7.1,5.1,36.21,0.666850829
18,57.2,8.1,5.6,45.36,0.793006993
18,57.3,7.3,5.5,40.15,0.70069808
18,54,7.5,5.1,38.25,0.708333333
18,54.6,6.4,5.2,33.28,0.60952381
18,57.7,7.3,5.7,41.61,0.721143847
18,60,7.4,5.9,43.66,0.727666667
21,57.3,8.3,6.2,51.46,0.898080279
21,57.1,7.7,6.1,46.97,0.822591944
21,56.8,6.4,6,38.4,0.676056338
21,56.2,7.9,5.7,45.03,0.801245552
21,58.5,6.9,5.6,38.64,0.660512821
21,55.5,7.1,5.7,40.47,0.729189189
21,57,7.3,5,36.5,0.640350877
21,57.8,7.2,5.3,38.16,0.660207612
21,57.9,6.9,5.1,35.19,0.607772021
21,59.3,7.6,5.5,41.8,0.704890388
21,58,6.8,5.1,34.68,0.597931034
21,55.8,7,5.9,41.3,0.740143369
21,58.7,7.9,5.8,45.82,0.780579216
37,58.6,9,6.8,61.2,1.044368601
37,52.3,8,5.5,44,0.841300191
37,55.6,7,5,35,0.629496403
37,56.5,6.8,5.5,37.4,0.661946903
37,55.5,7.6,5.4,41.04,0.739459459
37,55,8.1,5.7,46.17,0.839454545
37,59.5,7.9,5.3,41.87,0.703697479
37,57.3,7.6,6,45.6,0.795811518
37,55.6,7.2,5.8,41.76,0.751079137
0,58.7,6.8,5.6,38.08,0.648722317
0,59.1,6.5,5.4,35.1,0.593908629
0,58.4,6.3,5.2,32.76,0.560958904
0,58.2,6.6,5.2,34.32,0.589690722
0,56.7,6.1,4.8,29.28,0.516402116
0,56.2,6.2,4.4,27.28,0.485409253
0,58.1,6.2,4.9,30.38,0.522891566
0,58,9.2,7,64.4,1.110344828
